,schoolcode,totalenroll,whiteenroll,blackenroll,hispanicenroll,lowincomeenroll,attendance,mobility,dropout,graduation,classsize,retention,year,schoolmode,Closed,hybrid_per,In-person,virtual_per,Unnamed: 0
0,11012002C260001,360.0,94.7,0.0,0.0,27.2,93.0,8.6,3.1,89.7,16.4,92.3,2021,0.0,0.0909090909090909,0.0,0.9090909090909092,0.0,
1,110150010260001,756.0,85.1,5.0,4.0,43.7,90.0,10.3,5.5,72.1,22.2,87.4,2021,0.2272727272727272,0.0,0.4545454545454545,0.5454545454545454,0.0,
2,110150020260001,921.0,86.4,3.0,5.1,54.6,90.5,11.2,3.1,88.2,20.5,90.5,2021,0.3636363636363636,0.0909090909090909,0.3636363636363636,0.3636363636363636,0.1818181818181818,
3,110150050260002,72.0,90.3,0.0,0.0,41.7,93.7,10.2,6.9,94.1,11.0,84.8,2021,0.0,0.0909090909090909,0.0,0.9090909090909092,0.0,
4,110180770260001,292.0,97.3,0.0,0.0,36.6,94.3,8.6,1.0,95.9,15.4,96.8,2021,0.3636363636363636,0.0909090909090909,0.7272727272727273,0.1818181818181818,0.0,
5,110213010260001,286.0,88.8,0.0,4.5,31.1,94.1,11.7,2.1,89.5,15.4,87.7,2021,0.0,0.0909090909090909,0.0,0.9090909090909092,0.0,
6,110213020260001,190.0,95.8,0.0,0.0,35.8,89.7,12.3,4.0,85.1,15.2,68.8,2021,0.2272727272727272,0.0909090909090909,0.4545454545454545,0.4545454545454545,0.0,
7,110213050260001,308.0,93.2,0.0,3.2,42.5,93.0,9.4,3.6,90.1,13.0,90.3,2021,0.0,0.0909090909090909,0.0,0.9090909090909092,0.0,
8,110230060260001,97.0,93.8,0.0,0.0,43.3,93.0,8.5,2.3,94.1,10.7,80.0,2021,0.0454545454545454,0.0909090909090909,0.0909090909090909,0.8181818181818182,0.0,
9,110238000800001,529.0,95.1,0.0,0.0,43.1,95.1,10.4,2.6,87.7,12.1,43.5,2021,0.0,0.0909090909090909,0.0,0.9090909090909092,0.0,
10,110703000260004,303.0,93.4,0.0,0.0,37.3,92.0,11.6,2.1,86.4,19.0,84.2,2021,0.2272727272727272,0.0909090909090909,0.4545454545454545,0.4545454545454545,0.0,
11,110703020260001,164.0,97.0,0.0,0.0,36.6,97.4,10.9,2.5,100.0,9.3,94.3,2021,0.2272727272727272,0.0909090909090909,0.4545454545454545,0.4545454545454545,0.0,
12,110870040260001,348.0,95.4,0.0,0.0,38.5,92.9,10.8,2.3,92.6,13.0,84.8,2021,0.0,0.0,0.0,1.0,0.0,
13,11087005A260001,122.0,99.2,0.0,0.0,30.3,95.9,4.3,1.6,100.0,15.7,93.8,2021,0.0454545454545454,0.0909090909090909,0.0909090909090909,0.8181818181818182,0.0,
14,110870210260001,216.0,95.8,0.0,0.0,37.5,97.5,5.7,4.3,96.2,14.0,91.8,2021,0.3636363636363636,0.0909090909090909,0.3636363636363636,0.3636363636363636,0.1818181818181818,
15,120130100260002,73.0,97.3,0.0,0.0,60.3,94.7,10.0,3.1,68.8,15.5,75.0,2021,0.0,0.0909090909090909,0.0,0.9090909090909092,0.0,
16,120130250260001,181.0,94.5,0.0,0.0,44.8,92.2,7.3,4.7,69.1,17.0,92.1,2021,0.0,0.0909090909090909,0.0,0.9090909090909092,0.0,
17,120130350260001,383.0,92.2,0.0,2.9,50.4,94.6,12.8,3.8,81.0,19.4,95.8,2021,0.0909090909090909,0.0909090909090909,0.0,0.8181818181818182,0.0909090909090909,
18,120170010260001,103.0,89.3,0.0,0.0,40.8,95.6,9.5,1.0,100.0,8.9,62.1,2021,0.1363636363636363,0.0909090909090909,0.2727272727272727,0.6363636363636364,0.0,
19,120170020260001,493.0,90.7,2.0,3.0,39.6,93.2,7.0,3.7,93.1,19.6,90.4,2021,0.0,0.0909090909090909,0.0,0.9090909090909092,0.0,
20,120170030260001,85.0,97.6,0.0,0.0,41.2,86.9,11.0,5.9,83.3,9.1,90.9,2021,0.0454545454545454,0.0909090909090909,0.0909090909090909,0.8181818181818182,0.0,
21,120170040260001,190.0,95.3,0.0,0.0,47.9,96.8,11.0,6.9,84.3,14.5,86.7,2021,0.0454545454545454,0.0909090909090909,0.0909090909090909,0.8181818181818182,0.0,
22,120400010260001,415.0,97.8,0.0,0.0,35.2,92.4,12.2,2.7,90.0,21.8,88.0,2021,0.0,0.0909090909090909,0.0,0.9090909090909092,0.0,
23,120510200260008,322.0,92.5,0.0,4.0,57.8,92.1,11.4,6.1,67.4,14.5,93.6,2021,0.1818181818181818,0.0909090909090909,0.1818181818181818,0.6363636363636364,0.0909090909090909,
24,120800010260001,722.0,89.1,0.0,5.4,41.8,91.6,13.6,4.8,85.5,23.0,95.7,2021,0.3181818181818182,0.0,0.4545454545454545,0.4545454545454545,0.0909090909090909,
25,130140010260001,300.0,92.0,3.3,0.0,37.3,90.2,11.5,5.2,88.5,15.2,92.9,2021,0.0454545454545454,0.0909090909090909,0.0909090909090909,0.8181818181818182,0.0,
26,130140030260006,385.0,88.8,0.0,6.5,31.4,92.0,4.9,1.8,88.6,14.7,98.6,2021,0.0,0.0909090909090909,0.0,0.9090909090909092,0.0,
27,130140710160001,625.0,95.0,0.0,4.2,18.4,95.2,3.7,1.4,90.0,22.3,95.6,2021,0.0,0.0909090909090909,0.0,0.9090909090909092,0.0,
28,130410010260001,102.0,97.1,0.0,0.0,45.1,94.5,7.0,2.9,85.7,14.0,90.5,2021,0.3181818181818182,0.0909090909090909,0.6363636363636364,0.2727272727272727,0.0,
29,130412010170001,1155.0,73.9,11.5,4.8,52.6,89.9,13.7,2.7,87.7,21.1,90.2,2021,0.4545454545454545,0.0909090909090909,0.9090909090909092,0.0,0.0,
30,130412090270001,190.0,94.2,0.0,0.0,41.1,91.1,10.6,4.2,81.3,21.7,0.0,2021,0.3636363636363636,0.0909090909090909,0.7272727272727273,0.1818181818181818,0.0,
31,130413180270001,125.0,96.8,0.0,0.0,36.8,88.5,13.7,3.1,94.1,15.1,94.1,2021,0.0,0.0909090909090909,0.0,0.9090909090909092,0.0,
32,130581000260002,79.0,100.0,0.0,0.0,41.8,95.3,11.3,5.1,95.0,12.8,92.3,2021,0.2727272727272727,0.0909090909090909,0.5454545454545454,0.3636363636363636,0.0,
33,130582000170001,854.0,75.1,7.7,6.3,62.8,90.2,14.2,7.3,73.9,21.4,91.2,2021,0.4545454545454545,0.0909090909090909,0.9090909090909092,0.0,0.0,
34,130584010260001,208.0,97.6,0.0,0.0,46.2,91.4,6.6,5.5,88.0,14.1,86.5,2021,0.0909090909090909,0.0909090909090909,0.1818181818181818,0.7272727272727273,0.0,
35,130585010260001,100.0,93.0,0.0,0.0,72.0,95.7,4.8,2.9,78.6,12.0,66.7,2021,0.4545454545454545,0.0909090909090909,0.9090909090909092,0.0,0.0,
36,130586000160001,666.0,92.9,0.0,1.5,46.4,93.3,9.3,3.8,85.1,22.2,97.5,2021,0.409090909090909,0.0909090909090909,0.6363636363636364,0.1818181818181818,0.0909090909090909,
37,130587220260001,60.0,93.3,0.0,0.0,78.3,89.4,11.5,3.4,78.6,11.1,69.6,2021,0.3636363636363636,0.0909090909090909,0.7272727272727273,0.1818181818181818,0.0,
38,130950990160001,408.0,93.9,0.0,3.2,32.8,95.8,6.3,2.1,95.7,20.3,94.5,2021,0.4090909090909091,0.0909090909090909,0.8181818181818182,0.0909090909090909,0.0,
39,150162990250001,1454.0,26.0,7.6,53.6,58.9,84.6,4.9,1.5,89.7,27.2,92.4,2021,0.6363636363636364,0.0909090909090909,0.5454545454545454,0.0,0.3636363636363636,
40,150162990250003,731.0,0.0,64.6,34.5,87.6,72.1,6.3,6.2,55.1,23.6,80.0,2021,0.7727272727272727,0.0909090909090909,0.2727272727272727,0.0,0.6363636363636364,
41,150162990250006,435.0,0.0,38.6,60.0,73.8,82.8,5.2,1.9,90.6,21.6,91.5,2021,0.7727272727272727,0.0909090909090909,0.2727272727272727,0.0,0.6363636363636364,
42,150162990250012,284.0,0.0,96.8,0.0,94.4,64.2,14.7,6.8,59.7,32.9,88.2,2021,0.7727272727272727,0.0909090909090909,0.2727272727272727,0.0,0.6363636363636364,
43,150162990250013,598.0,4.3,19.4,75.3,92.3,73.3,13.7,8.2,54.5,22.6,91.3,2021,0.7272727272727272,0.0909090909090909,0.3636363636363636,0.0,0.5454545454545454,
44,150162990250014,1075.0,1.3,2.8,92.5,89.0,87.0,0.7,0.4,98.0,25.1,85.9,2021,0.7727272727272727,0.0909090909090909,0.2727272727272727,0.0,0.6363636363636364,
45,150162990250015,317.0,0.0,31.5,66.9,94.0,69.3,10.2,11.1,42.0,19.3,84.8,2021,0.7727272727272727,0.0909090909090909,0.2727272727272727,0.0,0.6363636363636364,
46,150162990250016,294.0,0.0,98.6,0.0,89.5,71.8,14.9,5.2,50.4,26.5,79.5,2021,0.7727272727272727,0.0909090909090909,0.2727272727272727,0.0,0.6363636363636364,
47,150162990250019,84.0,0.0,98.8,0.0,94.0,68.8,34.8,13.1,32.7,16.3,85.7,2021,0.7727272727272727,0.0909090909090909,0.2727272727272727,0.0,0.6363636363636364,
48,150162990250020,1721.0,1.8,5.5,92.2,88.3,86.9,3.7,2.6,79.9,28.8,93.8,2021,0.7727272727272727,0.0909090909090909,0.2727272727272727,0.0,0.6363636363636364,
49,150162990250021,734.0,0.0,99.3,0.0,98.8,75.9,6.6,3.2,76.5,22.0,94.4,2021,0.7727272727272727,0.0909090909090909,0.2727272727272727,0.0,0.6363636363636364,
50,150162990250022,1769.0,1.8,4.4,77.7,93.4,77.3,4.9,5.0,63.3,24.8,95.0,2021,0.7727272727272727,0.0909090909090909,0.2727272727272727,0.0,0.6363636363636364,
51,150162990250024,1467.0,19.2,2.4,76.6,59.9,81.6,4.6,4.6,79.9,25.1,95.0,2021,0.7727272727272727,0.0909090909090909,0.2727272727272727,0.0,0.6363636363636364,
52,150162990250026,1352.0,10.8,10.8,72.3,76.3,79.6,5.2,1.3,85.8,26.7,89.4,2021,0.7727272727272727,0.0909090909090909,0.2727272727272727,0.0,0.6363636363636364,
53,150162990250029,211.0,0.0,97.6,0.0,98.6,61.8,16.0,8.4,39.8,21.4,79.1,2021,0.7727272727272727,0.0909090909090909,0.2727272727272727,0.0,0.6363636363636364,
54,150162990250030,1619.0,13.9,15.1,44.3,84.1,82.6,5.2,2.7,69.3,24.6,92.6,2021,0.7272727272727272,0.0909090909090909,0.3636363636363636,0.0,0.5454545454545454,
55,150162990250034,590.0,0.0,96.9,0.0,96.4,64.0,16.4,7.3,57.7,27.7,85.7,2021,0.7727272727272727,0.0909090909090909,0.2727272727272727,0.0,0.6363636363636364,
56,150162990250036,1510.0,4.7,8.3,83.2,89.5,77.0,7.0,3.4,73.7,27.6,91.0,2021,0.7727272727272727,0.0909090909090909,0.2727272727272727,0.0,0.6363636363636364,
57,150162990250037,1546.0,14.6,25.1,41.6,76.5,87.1,6.8,2.8,80.5,24.9,92.2,2021,0.7272727272727272,0.0909090909090909,0.3636363636363636,0.0,0.5454545454545454,
58,150162990250039,462.0,0.0,95.2,2.2,75.3,92.0,1.6,1.4,94.1,25.7,82.5,2021,0.6818181818181819,0.0909090909090909,0.4545454545454545,0.0,0.4545454545454545,
59,150162990250041,1151.0,5.5,18.2,72.0,85.0,77.9,6.5,4.1,68.0,27.7,94.4,2021,0.7727272727272727,0.0909090909090909,0.2727272727272727,0.0,0.6363636363636364,
60,150162990250042,593.0,9.1,37.6,41.0,93.3,74.2,13.4,3.0,73.1,22.9,90.6,2021,0.7727272727272727,0.0909090909090909,0.2727272727272727,0.0,0.6363636363636364,
61,150162990250044,203.0,9.9,39.9,47.8,96.1,65.2,17.8,10.3,43.4,18.9,85.4,2021,0.6818181818181819,0.0909090909090909,0.4545454545454545,0.0,0.4545454545454545,
62,150162990250046,1674.0,17.2,10.2,54.3,66.7,88.6,1.7,0.4,98.4,28.0,92.9,2021,0.7272727272727272,0.0909090909090909,0.3636363636363636,0.0,0.5454545454545454,
63,150162990250047,2117.0,31.8,20.5,32.5,46.3,89.3,4.3,1.7,89.9,30.3,92.1,2021,0.7727272727272727,0.0909090909090909,0.2727272727272727,0.0,0.6363636363636364,
64,150162990250048,1503.0,4.4,5.4,88.4,85.6,80.3,3.8,2.6,80.0,28.1,87.7,2021,0.7727272727272727,0.0909090909090909,0.2727272727272727,0.0,0.6363636363636364,
65,150162990250049,312.0,3.8,47.1,47.4,81.7,80.0,8.6,4.7,68.5,20.4,90.4,2021,0.7727272727272727,0.0909090909090909,0.2727272727272727,0.0,0.6363636363636364,
66,150162990250052,435.0,0.0,81.8,15.9,88.0,73.4,5.6,0.5,86.1,25.5,81.3,2021,0.7272727272727272,0.0909090909090909,0.3636363636363636,0.0,0.5454545454545454,
67,15016299025010C,215.0,0.0,99.1,0.0,87.4,80.0,5.9,2.9,94.3,22.3,0.0,2021,0.9090909090909092,0.0909090909090909,0.0,0.0,0.9090909090909092,
68,15016299025012C,596.0,0.0,2.2,97.5,96.1,97.8,2.5,0.0,93.0,25.9,0.0,2021,0.9090909090909092,0.0909090909090909,0.0,0.0,0.9090909090909092,
69,15016299025013C,337.0,0.0,99.4,0.0,87.5,90.7,2.1,0.9,83.1,28.1,0.0,2021,0.9090909090909092,0.0909090909090909,0.0,0.0,0.9090909090909092,
70,15016299025015C,521.0,0.0,58.5,35.9,95.6,81.1,2.9,0.8,15.0,21.1,0.0,2021,0.6363636363636364,0.0909090909090909,0.5454545454545454,0.0,0.3636363636363636,
71,15016299025019C,243.0,0.0,99.6,0.0,93.0,75.7,4.9,0.5,84.0,16.0,58.6,2021,0.9090909090909092,0.0909090909090909,0.0,0.0,0.9090909090909092,
72,15016299025020C,97.0,0.0,0.0,97.9,97.9,54.1,54.7,1.0,59.1,20.6,71.4,2021,1.0,0.0,0.0,0.0,1.0,
73,15016299025027C,113.0,0.0,88.5,8.8,83.2,63.1,10.0,2.0,80.6,19.4,0.0,2021,0.9090909090909092,0.0909090909090909,0.0,0.0,0.9090909090909092,
74,15016299025028C,979.0,1.2,4.3,94.2,94.9,85.2,2.5,0.1,96.2,30.7,62.2,2021,0.9090909090909092,0.0909090909090909,0.0,0.0,0.9090909090909092,
75,15016299025029C,660.0,2.3,23.0,73.8,65.5,78.9,3.7,0.8,94.4,28.6,48.9,2021,0.8636363636363638,0.0909090909090909,0.0909090909090909,0.0,0.8181818181818182,
76,15016299025030C,394.0,0.0,83.5,14.2,87.6,65.9,9.8,0.8,90.6,25.8,70.7,2021,0.9090909090909092,0.0909090909090909,0.0,0.0,0.9090909090909092,
77,15016299025031C,659.0,2.0,20.2,76.3,86.6,62.9,3.7,0.5,97.4,28.1,80.8,2021,0.9090909090909092,0.0909090909090909,0.0,0.0,0.9090909090909092,
78,15016299025033C,1003.0,1.3,31.4,62.9,84.8,84.5,0.8,0.1,96.8,29.2,75.4,2021,0.9090909090909092,0.0909090909090909,0.0,0.0,0.9090909090909092,
79,15016299025034C,1193.0,0.0,34.4,63.8,89.7,78.0,3.4,0.4,97.2,29.2,82.0,2021,0.8636363636363638,0.0909090909090909,0.0909090909090909,0.0,0.8181818181818182,
80,15016299025035C,979.0,0.0,31.1,63.7,83.7,76.6,1.7,0.0,96.4,28.2,72.5,2021,0.8636363636363638,0.0909090909090909,0.0909090909090909,0.0,0.8181818181818182,
81,15016299025036C,519.0,0.0,95.4,3.7,88.4,62.7,7.8,0.4,92.1,19.9,68.5,2021,0.8636363636363638,0.0909090909090909,0.0909090909090909,0.0,0.8181818181818182,
82,15016299025037C,499.0,0.0,98.6,0.0,83.0,74.3,8.0,0.4,87.7,27.1,77.9,2021,0.9090909090909092,0.0909090909090909,0.0,0.0,0.9090909090909092,
