,schoolcode,year,mathpass,totaltested,percenttotaltested,white,black,hispanic,disability,lowincome,classsize,schoolmode
0,11012002C260001,2021,0.286,70.0,0.909,0.9142857142857144,0.0,0.0,0.1428571428571428,0.1857142857142857,16.4,0.0
1,11012002C260001,2019,0.302,96.0,1.0,0.96875,0.0,0.0,0.1666666666666666,0.25,18.0,0.0
2,11012002C260001,2018,0.299,97.0,0.99,0.9587628865979382,0.0,0.0,0.1958762886597938,0.2989690721649484,13.0,0.0
3,110150010260001,2021,0.196,209.0,0.933,0.8947368421052632,0.0,0.0,0.2248803827751196,0.3684210526315789,22.2,0.2272727272727272
4,110150010260001,2019,0.32,194.0,0.99,0.8917525773195877,0.0,0.0,0.2061855670103092,0.3969072164948453,24.9,0.0
5,110150010260001,2018,0.311,180.0,0.968,0.8666666666666667,0.0,0.0,0.1611111111111111,0.3611111111111111,19.0,0.0
6,110150020260001,2021,0.146,185.0,0.826,0.8378378378378378,0.0,0.0,0.1189189189189189,0.4972972972972973,20.5,0.3636363636363636
7,110150020260001,2019,0.346,240.0,0.996,0.8791666666666667,0.0,0.05,0.1208333333333333,0.4833333333333333,19.4,0.0
8,110150020260001,2018,0.262,252.0,0.981,0.9047619047619048,0.0,0.0396825396825396,0.1388888888888889,0.4087301587301587,16.0,0.0
9,110150050260002,2021,0.1669999999999999,18.0,1.0,0.9444444444444444,0.0,0.0,0.0,0.0,11.0,0.0
10,110150050260002,2019,0.0,16.0,1.0,0.9375,0.0,0.0,0.0,0.0,12.1,0.0
11,110150050260002,2018,0.222,18.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0
12,110180770260001,2021,0.188,64.0,0.985,0.96875,0.0,0.0,0.0,0.375,15.4,0.3636363636363636
13,110180770260001,2019,0.257,70.0,1.0,0.9714285714285714,0.0,0.0,0.0,0.3142857142857143,15.0,0.0
14,110180770260001,2018,0.129,62.0,1.0,0.9838709677419356,0.0,0.0,0.0,0.4032258064516129,14.0,0.0
