,schoolcode,totalenroll,whiteenroll,blackenroll,hispanicenroll,lowincomeenroll,attendance,mobility,dropout,graduation,classsize,retention,year,School Mode Score,Charter,DistrictName,SchoolName,SchoolType,EnrollmentTotal
0,11012002C260001,360.0,94.7,0.0,0.0,27.2,93.0,8.6,3.1,89.7,16.4,92.3,2021,0.0,No,Marshall CUSD 2C,Marshall High School,Regular school,359
1,11012002C260001,379.0,94.7,0.8,1.8,29.6,93.8,8.3,4.2,92.4,18.0,92.6,2019,0.0,No,Marshall CUSD 2C,Marshall High School,Regular school,359
2,11012002C260001,391.0,95.7,0.0,0.0,26.6,94.5,8.6,0.5,91.5,13.0,94.7,2018,0.0,No,Marshall CUSD 2C,Marshall High School,Regular school,359
3,110150010260001,756.0,85.1,5.0,4.0,43.7,90.0,10.3,5.5,72.1,22.2,87.4,2021,0.2272727272727272,No,Charleston CUSD 1,Charleston High School,Regular school,756
4,110150010260001,811.0,87.2,3.9,4.1,39.7,91.3,10.5,6.8,83.6,24.9,85.8,2019,0.2272727272727272,No,Charleston CUSD 1,Charleston High School,Regular school,756
5,110150010260001,803.0,86.8,4.0,5.0,37.4,89.6,8.5,3.0,92.0,19.0,88.0,2018,0.2272727272727272,No,Charleston CUSD 1,Charleston High School,Regular school,756
6,110150020260001,921.0,86.4,3.0,5.1,54.6,90.5,11.2,3.1,88.2,20.5,90.5,2021,0.3636363636363636,No,Mattoon CUSD 2,Mattoon High School,Regular school,915
7,110150020260001,954.0,88.1,3.9,4.1,47.4,96.1,11.6,3.0,90.0,19.4,84.8,2019,0.3636363636363636,No,Mattoon CUSD 2,Mattoon High School,Regular school,915
8,110150020260001,1013.0,88.3,3.6,4.3,46.8,92.5,10.2,1.1,95.5,16.0,88.1,2018,0.3636363636363636,No,Mattoon CUSD 2,Mattoon High School,Regular school,915
9,110150050260002,72.0,90.3,0.0,0.0,41.7,93.7,10.2,6.9,94.1,11.0,84.8,2021,0.0,No,Oakland CUSD 5,Oakland High School,Regular school,72
10,110150050260002,73.0,89.0,1.4,4.1,42.5,94.4,3.7,2.6,94.4,12.1,84.4,2019,0.0,No,Oakland CUSD 5,Oakland High School,Regular school,72
