,schoolcode,dropout,totalenrolled,year,hybridper,virtualper,remote,black,hispanic,white,lowincome,charter,state,districtcode
0,ca30665223033578,0.8403,2142,2015,0.0,0.0,0.0,0.18,15.38,3.85,69.34,0.0,california,ca66522
1,ca30736503030129,18.9655,116,2015,0.0,0.0,0.0,13.04,47.83,26.090000000000003,50.470000000000006,0.0,california,ca73650
2,ca36676113630803,1.2319,1380,2015,0.0,0.0,0.0,15.03,53.47,22.25,68.60000000000001,0.0,california,ca67611
3,ca15634121531672,0.5409,1664,2015,0.0,0.0,0.0,0.26,77.63,2.06,85.42999999999999,0.0,california,ca63412
4,ca19645681933530,0.3873,2582,2015,0.0,0.0,0.0,1.32,35.93,48.34,68.16,0.0,california,ca64568
5,ca30666703030475,13.1757,296,2015,0.0,0.0,0.0,0.0,98.97,1.03,93.3,0.0,california,ca66670
6,ca33672073330727,1.1955,2844,2015,0.0,0.0,0.0,5.44,51.0,32.379999999999995,52.51,0.0,california,ca67207
7,ca36750443630472,22.7723,303,2015,0.0,0.0,0.0,7.689999999999999,81.73,8.649999999999999,81.2,0.0,california,ca75044
8,ca40754574035754,0.6643,1957,2015,0.0,0.0,0.0,1.06,48.2,45.45,34.81,0.0,california,ca75457
9,ca37682133734878,0.2551,392,2015,0.0,0.0,0.0,1.2,50.6,43.37,55.08,0.0,california,ca68213
10,ca19651281936889,0.0707,1414,2015,0.0,0.0,0.0,1.34,92.74,2.96,84.19,0.0,california,ca65128
11,ca30665973035045,0.6794,2355,2015,0.0,0.0,0.0,0.94,33.07,61.13,35.870000000000005,0.0,california,ca66597
12,ca58727365830013,0.8953,1117,2015,0.0,0.0,0.0,4.38,49.4,22.71,88.01,0.0,california,ca72736
13,ca34674473430386,5.7971,207,2015,0.0,0.0,0.0,11.32,13.21,66.03999999999999,35.620000000000005,0.0,california,ca67447
14,ca37681303731262,0.0911,2195,2015,0.0,0.0,0.0,5.2,37.73,47.21,23.23,1.0,california,ca68130
15,ca49706074930327,21.4286,70,2015,0.0,0.0,0.0,5.41,24.32,64.86,57.81,0.0,california,ca70607
16,ca51714495137500,0.0,693,2015,0.0,0.0,0.0,0.0,22.22,66.67,26.58,0.0,california,ca71449
17,ca21654662134005,0.365,1096,2015,0.0,0.0,0.0,2.09,43.55,42.16,27.68,0.0,california,ca65466
18,ca47705164739207,0.1582,632,2015,0.0,0.0,0.0,0.6799999999999999,18.24,68.24,42.46,0.0,california,ca70516
19,ca10622811033950,1.7045,176,2015,0.0,0.0,0.0,4.88,75.61,14.63,78.53,0.0,california,ca62281
20,ca36677103630902,0.3764,2391,2015,0.0,0.0,0.0,6.83,84.76,5.6000000000000005,77.63,0.0,california,ca67710
21,ca19734521936228,0.9188,1959,2015,0.0,0.0,0.0,1.66,82.37,1.66,74.3,0.0,california,ca73452
22,ca37683043735974,0.4144,1689,2015,0.0,0.0,0.0,2.03,33.160000000000004,60.51,33.46,0.0,california,ca68304
23,ca40688414030185,0.0,82,2015,0.0,0.0,0.0,0.0,12.0,76.0,14.29,0.0,california,ca68841
24,ca58727365830138,0.0,229,2015,0.0,0.0,0.0,0.0,36.21,46.55,47.99,1.0,california,ca72736
25,ca19101991995869,0.0,547,2015,0.0,0.0,0.0,2.11,64.08,12.68,23.84,0.0,california,ca10199
26,ca34673143430618,1.0503,2285,2015,0.0,0.0,0.0,14.13,25.540000000000003,15.939999999999998,58.57,0.0,california,ca67314
27,ca52715715235106,0.0,178,2015,0.0,0.0,0.0,2.56,46.150000000000006,46.150000000000006,78.61,0.0,california,ca71571
28,ca33751923330917,0.3401,294,2015,0.0,0.0,0.0,5.62,30.34,46.07,8.37,1.0,california,ca75192
29,ca55723895536503,0.1021,979,2015,0.0,0.0,0.0,1.3,18.26,71.3,39.01,0.0,california,ca72389
30,ca19647331936350,1.7178,2736,2015,0.0,0.0,0.0,3.89,68.28999999999999,13.62,67.46,0.0,california,ca64733
31,ca19647336016885,2.8807,729,2015,0.0,0.0,0.0,0.0,99.32,0.6799999999999999,92.98,0.0,california,ca64733
32,ca19651281934868,0.2721,2940,2015,0.0,0.0,0.0,0.59,79.44,15.71,43.95,0.0,california,ca65128
33,ca37679833730447,0.7634,131,2015,0.0,0.0,0.0,0.0,75.86,20.69,83.46000000000001,0.0,california,ca67983
