,schoolcode,district,county,year,charter,elapass,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,asian
0,522001040003,4,03,2017,0.0,81.0,0.0,0.0,0.0,103,28.1553,95.1456,1.9417,0.9709,0.0
1,141901060008,6,08,2017,0.0,96.0,0.0,0.0,0.0,525,19.2381,93.1429,0.7619,3.4286,0.9524
2,580224030008,3,08,2017,0.0,89.0,0.0,0.0,0.0,637,48.6656,56.6719,5.4945,33.595,3.6107
3,10100010034,1,34,2017,0.0,79.0,0.0,0.0,0.0,586,51.1945,21.1604,48.8055,17.7474,9.727
6,10601060008,6,08,2017,0.0,90.0,0.0,0.0,0.0,415,27.9518,67.9518,8.6747,7.4699,11.0843
7,10701030001,3,01,2017,0.0,75.0,0.0,0.0,0.0,12,58.3333,75.0,0.0,8.3333,0.0
8,11200010010,1,10,2017,0.0,81.0,0.0,0.0,0.0,99,72.7273,50.5051,16.1616,11.1111,17.1717
9,20101040002,4,02,2017,0.0,93.0,0.0,0.0,0.0,45,33.3333,95.5556,0.0,0.0,4.4444
10,20601040001,4,01,2017,0.0,72.0,0.0,0.0,0.0,25,56.0,96.0,4.0,0.0,0.0
11,20702040001,4,01,2017,0.0,94.0,0.0,0.0,0.0,42,42.8571,97.619,2.381,0.0,0.0
12,20801040001,4,01,2017,0.0,62.0,0.0,0.0,0.0,26,76.9231,96.1538,0.0,3.8462,0.0
13,21102040001,4,01,2017,0.0,94.0,0.0,0.0,0.0,18,44.4444,100.0,0.0,0.0,0.0
14,21601040004,4,04,2017,0.0,100.0,0.0,0.0,0.0,21,76.1905,100.0,0.0,0.0,0.0
15,22001040001,4,01,2017,0.0,93.0,0.0,0.0,0.0,42,40.4762,100.0,0.0,0.0,0.0
16,22302040001,4,01,2017,0.0,91.0,0.0,0.0,0.0,66,53.0303,90.9091,1.5152,4.5455,1.5152
17,22401040003,4,03,2017,0.0,83.0,0.0,0.0,0.0,24,66.6667,91.6667,0.0,0.0,0.0
18,22601060004,6,04,2017,0.0,88.0,0.0,0.0,0.0,103,53.3981,91.2621,0.9709,2.9126,3.8835
19,22902040001,4,01,2017,0.0,89.0,0.0,0.0,0.0,57,59.6491,96.4912,0.0,3.5088,0.0
20,30101060003,6,03,2017,0.0,99.0,0.0,0.0,0.0,134,35.0746,90.2985,2.9851,5.9701,0.0
21,30501040003,4,03,2017,0.0,80.0,0.0,0.0,0.0,60,53.3333,95.0,0.0,0.0,3.3333
22,30601060006,6,06,2017,0.0,91.0,0.0,0.0,0.0,156,44.8718,87.1795,5.7692,1.2821,2.5641
23,30701060001,6,01,2017,0.0,97.0,0.0,0.0,0.0,123,34.9593,91.8699,1.626,0.813,0.813
24,31101060006,6,06,2017,0.0,96.0,0.0,0.0,0.0,187,33.1551,91.9786,2.139,2.139,1.6043
25,31301040003,4,03,2017,0.0,101.0,0.0,0.0,0.0,40,45.0,100.0,0.0,0.0,0.0
26,31401060004,6,04,2017,0.0,88.0,0.0,0.0,0.0,124,56.4516,96.7742,1.6129,0.8065,0.8065
27,31501060012,6,12,2017,0.0,89.0,0.0,0.0,0.0,273,40.6593,75.8242,9.1575,8.0586,2.9304
28,31502060006,6,06,2017,0.0,86.0,0.0,0.0,0.0,182,54.9451,65.3846,15.3846,7.6923,7.1429
29,31701060007,6,07,2017,0.0,95.0,0.0,0.0,0.0,161,48.4472,92.5466,3.7267,1.8634,1.8634
30,40204040001,4,01,2017,0.0,91.0,0.0,0.0,0.0,23,26.087,91.3043,4.3478,4.3478,0.0
31,40302060001,6,01,2017,0.0,92.0,0.0,0.0,0.0,82,32.9268,93.9024,1.2195,2.439,1.2195
32,40901040002,4,02,2017,0.0,95.0,0.0,0.0,0.0,43,27.907,83.7209,0.0,6.9767,2.3256
33,41101040002,4,02,2017,0.0,93.0,0.0,0.0,0.0,57,45.614,94.7368,0.0,0.0,0.0
34,42302040003,4,03,2017,0.0,90.0,0.0,0.0,0.0,62,50.0,100.0,0.0,0.0,0.0
35,42400010013,1,13,2017,0.0,87.0,0.0,0.0,0.0,190,51.0526,84.7368,7.3684,1.0526,3.6842
36,42801060006,6,06,2017,0.0,83.0,0.0,0.0,0.0,104,59.6154,80.7692,0.9615,1.9231,0.0
37,42901040002,4,02,2017,0.0,85.0,0.0,0.0,0.0,68,57.3529,97.0588,1.4706,0.0,0.0
38,43001040002,4,02,2017,0.0,97.0,0.0,0.0,0.0,67,53.7313,94.0299,0.0,1.4925,2.9851
39,43011020001,2,01,2017,0.0,55.0,0.0,0.0,0.0,9,77.7778,44.4444,22.2222,0.0,11.1111
40,43200050002,5,02,2017,0.0,84.0,0.0,0.0,0.0,73,54.7945,57.5342,0.0,4.1096,0.0
41,43501060006,6,06,2017,0.0,89.0,0.0,0.0,0.0,184,51.6304,96.1957,0.5435,1.6304,1.087
42,50100010013,1,13,2017,0.0,86.0,0.0,0.0,0.0,290,46.5517,79.6552,12.4138,4.8276,0.6897
43,50401040003,4,03,2017,0.0,93.0,0.0,0.0,0.0,82,36.5854,92.6829,1.2195,2.439,1.2195
44,50701040005,4,05,2017,0.0,92.0,0.0,0.0,0.0,48,50.0,91.6667,0.0,8.3333,0.0
45,51101040004,4,04,2017,0.0,83.0,0.0,0.0,0.0,94,35.1064,97.8723,1.0638,0.0,0.0
46,51301040003,4,03,2017,0.0,95.0,0.0,0.0,0.0,73,38.3562,94.5205,0.0,2.7397,1.3699
47,51901040005,4,05,2017,0.0,101.0,0.0,0.0,0.0,74,20.2703,97.2973,0.0,2.7027,0.0
48,60201060003,6,03,2017,0.0,94.0,0.0,0.0,0.0,114,29.8246,90.3509,0.0,1.7544,4.386
49,60401040006,4,06,2017,0.0,83.0,0.0,0.0,0.0,82,50.0,89.0244,1.2195,7.3171,1.2195
50,60701040003,4,03,2017,0.0,91.0,0.0,0.0,0.0,37,35.1351,94.5946,0.0,0.0,0.0
51,60800010009,1,09,2017,0.0,73.0,0.0,0.0,0.0,137,66.4234,35.0365,6.5693,56.2044,0.0
52,61001040005,4,05,2017,0.0,94.0,0.0,0.0,0.0,67,26.8657,95.5224,2.9851,0.0,1.4925
53,61101040007,4,07,2017,0.0,76.0,0.0,0.0,0.0,100,48.0,96.0,2.0,1.0,1.0
54,61501040001,4,01,2017,0.0,92.0,0.0,0.0,0.0,79,50.6329,84.8101,0.0,3.7975,0.0
55,61601040001,4,01,2017,0.0,84.0,0.0,0.0,0.0,33,45.4545,93.9394,0.0,6.0606,0.0
56,61700010013,1,13,2017,0.0,87.0,0.0,0.0,0.0,299,55.8528,65.8863,5.6856,17.0569,0.3344
57,62201060003,6,03,2017,0.0,94.0,0.0,0.0,0.0,129,28.6822,89.9225,0.0,7.7519,0.7752
58,62901040002,4,02,2017,0.0,97.0,0.0,0.0,0.0,53,49.0566,90.566,1.8868,5.6604,0.0
59,70600010020,1,20,2017,0.0,84.0,0.0,0.0,0.0,376,50.0,75.5319,20.7447,1.0638,0.5319
60,70901060007,6,07,2017,0.0,89.0,0.0,0.0,0.0,294,30.2721,89.1156,2.0408,2.7211,4.4218
61,70902060002,6,02,2017,0.0,83.0,0.0,0.0,0.0,67,49.2537,92.5373,2.9851,0.0,1.4925
62,80101040003,4,03,2017,0.0,80.0,0.0,0.0,0.0,35,71.4286,94.2857,2.8571,2.8571,0.0
63,80201040001,4,01,2017,0.0,94.0,0.0,0.0,0.0,58,32.7586,91.3793,0.0,5.1724,0.0
64,80601040003,4,03,2017,0.0,88.0,0.0,0.0,0.0,76,51.3158,96.0526,1.3158,1.3158,1.3158
65,81003040003,4,03,2017,0.0,70.0,0.0,0.0,0.0,56,64.2857,91.0714,1.7857,1.7857,1.7857
66,81200050004,5,04,2017,0.0,88.0,0.0,0.0,0.0,146,43.8356,89.726,3.4247,4.1096,2.0548
67,81501040002,4,02,2017,0.0,94.0,0.0,0.0,0.0,55,58.1818,92.7273,1.8182,3.6364,0.0
68,82001040004,4,04,2017,0.0,83.0,0.0,0.0,0.0,89,44.9438,96.6292,2.2472,0.0,1.1236
69,91101060005,6,05,2017,0.0,84.0,0.0,0.0,0.0,146,37.6712,97.2603,2.0548,0.0,0.0
70,91402060005,6,05,2017,0.0,87.0,0.0,0.0,0.0,111,34.2342,96.3964,1.8018,0.0,0.9009
71,100501040003,4,03,2017,0.0,85.0,0.0,0.0,0.0,115,51.3043,82.6087,2.6087,11.3043,0.0
72,100902040004,4,04,2017,0.0,97.0,0.0,0.0,0.0,26,42.3077,96.1538,0.0,3.8462,0.0
73,101401040005,4,05,2017,0.0,90.0,0.0,0.0,0.0,141,33.3333,93.617,2.1277,3.5461,0.0
74,101601040003,4,03,2017,0.0,92.0,0.0,0.0,0.0,46,39.1304,97.8261,0.0,2.1739,0.0
75,110200010011,1,11,2017,0.0,80.0,0.0,0.0,0.0,347,46.9741,88.1844,3.4582,3.4582,0.8646
76,110304040002,4,02,2017,0.0,82.0,0.0,0.0,0.0,38,57.8947,92.1053,2.6316,0.0,2.6316
77,110701060001,6,01,2017,0.0,95.0,0.0,0.0,0.0,153,27.451,98.0392,0.6536,0.0,0.0
78,110901040001,4,01,2017,0.0,93.0,0.0,0.0,0.0,49,48.9796,93.8776,6.1224,0.0,0.0
79,120102040001,4,01,2017,0.0,92.0,0.0,0.0,0.0,12,50.0,100.0,0.0,0.0,0.0
80,120401040001,4,01,2017,0.0,93.0,0.0,0.0,0.0,30,53.3333,96.6667,3.3333,0.0,0.0
81,120501040002,4,02,2017,0.0,96.0,0.0,0.0,0.0,63,26.9841,92.0635,3.1746,0.0,3.1746
82,120701040001,4,01,2017,0.0,85.0,0.0,0.0,0.0,20,60.0,90.0,0.0,5.0,5.0
83,120906040002,4,02,2017,0.0,87.0,0.0,0.0,0.0,37,51.3514,89.1892,2.7027,8.1081,0.0
84,121401040001,4,01,2017,0.0,95.0,0.0,0.0,0.0,24,41.6667,75.0,0.0,16.6667,4.1667
85,121502040001,4,01,2017,0.0,77.0,0.0,0.0,0.0,27,40.7407,88.8889,0.0,7.4074,0.0
86,121601060006,6,06,2017,0.0,92.0,0.0,0.0,0.0,83,63.8554,91.5663,1.2048,3.6145,0.0
87,121701040001,4,01,2017,0.0,80.0,0.0,0.0,0.0,30,23.3333,86.6667,10.0,3.3333,0.0
88,121702040001,4,01,2017,0.0,100.0,0.0,0.0,0.0,24,37.5,95.8333,0.0,0.0,4.1667
89,121901040002,4,02,2017,0.0,87.0,0.0,0.0,0.0,77,58.4416,96.1039,0.0,1.2987,2.5974
90,130502020003,2,03,2017,0.0,90.0,0.0,0.0,0.0,113,49.5575,71.6814,10.6195,15.9292,0.885
91,130801060007,6,07,2017,0.0,90.0,0.0,0.0,0.0,318,40.8805,69.1824,13.8365,12.8931,2.2013
92,131101040004,4,04,2017,0.0,82.0,0.0,0.0,0.0,63,52.381,74.6032,4.7619,20.6349,0.0
93,131201040002,4,02,2017,0.0,94.0,0.0,0.0,0.0,97,14.433,80.4124,1.0309,15.4639,3.0928
94,131701060002,6,02,2017,0.0,97.0,0.0,0.0,0.0,167,17.3653,87.4251,2.3952,7.7844,2.3952
95,132201040005,4,05,2017,0.0,95.0,0.0,0.0,0.0,77,27.2727,81.8182,2.5974,9.0909,1.2987
96,140201060002,6,02,2017,0.0,97.0,0.0,0.0,0.0,206,26.699,73.7864,11.165,3.8835,8.2524
97,140203060010,6,10,2017,0.0,96.0,0.0,0.0,0.0,311,11.5756,83.6013,2.5723,2.2508,8.0386
98,140207060006,6,06,2017,0.0,95.0,0.0,0.0,0.0,262,46.5649,68.3206,20.229,5.3435,4.9618
99,140301030005,3,05,2017,0.0,97.0,0.0,0.0,0.0,178,8.427,96.6292,1.1236,2.2472,0.0
