,schoolcode,district,county,year,charter,mathpass,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,asian
0,353100011064,1,64,2018,0.0,63,0.0,0.0,0.0,141,43.9716,63.8298,8.5106,25.5319,0.7092
1,10100010034,1,34,2018,0.0,49,0.0,0.0,0.0,630,73.3333,17.9365,56.0317,15.3968,7.4603
3,10100860960,86,60,2018,0.0,60,0.0,0.0,0.0,188,86.1702,11.1702,63.2979,13.8298,5.3191
4,10201040001,4,01,2018,0.0,84,0.0,0.0,0.0,68,32.3529,95.5882,0.0,1.4706,1.4706
5,10306060008,6,08,2018,0.0,91,0.0,0.0,0.0,276,14.4928,83.6957,2.5362,4.7101,7.6087
6,10402060001,6,01,2018,0.0,72,0.0,0.0,0.0,134,46.2687,84.3284,6.7164,3.7313,0.0
7,10500010007,1,07,2018,0.0,49,0.0,0.0,0.0,144,73.6111,72.2222,11.1111,10.4167,1.3889
8,10601060008,6,08,2018,0.0,72,0.0,0.0,0.0,312,41.0256,63.7821,10.8974,11.859,7.3718
9,10623060010,6,10,2018,0.0,91,0.0,0.0,0.0,363,31.1295,65.5647,9.9174,7.989,11.5702
10,10701030001,3,01,2018,0.0,30,0.0,0.0,0.0,47,72.3404,82.9787,10.6383,2.1277,0.0
11,10802060005,6,05,2018,0.0,84,0.0,0.0,0.0,330,29.0909,75.7576,8.1818,6.0606,6.9697
12,11003060002,6,02,2018,0.0,92,0.0,0.0,0.0,73,6.8493,94.5205,2.7397,0.0,1.3699
13,11200010010,1,10,2018,0.0,59,0.0,0.0,0.0,164,77.439,42.6829,26.8293,14.6341,12.8049
14,20101040002,4,02,2018,0.0,95,0.0,0.0,0.0,59,32.2034,91.5254,0.0,0.0,6.7797
15,20601040001,4,01,2018,0.0,63,0.0,0.0,0.0,8,50.0,100.0,0.0,0.0,0.0
16,20702040001,4,01,2018,0.0,79,0.0,0.0,0.0,47,46.8085,93.617,0.0,0.0,0.0
17,20801040001,4,01,2018,0.0,85,0.0,0.0,0.0,27,59.2593,88.8889,0.0,11.1111,0.0
18,21102040001,4,01,2018,0.0,82,0.0,0.0,0.0,17,70.5882,88.2353,0.0,11.7647,0.0
19,21601040004,4,04,2018,0.0,76,0.0,0.0,0.0,29,62.069,82.7586,0.0,3.4483,0.0
20,22001040001,4,01,2018,0.0,89,0.0,0.0,0.0,45,55.5556,95.5556,0.0,4.4444,0.0
21,22101040001,4,01,2018,0.0,85,0.0,0.0,0.0,20,50.0,100.0,0.0,0.0,0.0
22,22302040001,4,01,2018,0.0,87,0.0,0.0,0.0,63,53.9683,98.4127,0.0,0.0,1.5873
23,22401040003,4,03,2018,0.0,92,0.0,0.0,0.0,25,56.0,96.0,0.0,0.0,0.0
24,22601060004,6,04,2018,0.0,79,0.0,0.0,0.0,98,43.8776,95.9184,2.0408,1.0204,0.0
25,22902040001,4,01,2018,0.0,70,0.0,0.0,0.0,69,59.4203,94.2029,2.8986,0.0,0.0
26,30101060003,6,03,2018,0.0,89,0.0,0.0,0.0,99,43.4343,89.899,1.0101,1.0101,1.0101
27,30200010021,1,21,2018,0.0,40,0.0,0.0,0.0,529,83.9319,36.4839,33.2703,18.9036,2.8355
