,schoolcode,year,charter,dropout,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,asian
0,5902001,2018,0.0,0,0.0,0.0,0.0,317,24.2902,90.2208,0.6309,7.571,0.0
1,7905004,2018,0.0,0,0.0,0.0,0.0,2,100.0,0.0,0.0,100.0,0.0
2,11901005,2018,0.0,0,0.0,0.0,0.0,224,62.5,25.0,1.7857,70.5357,1.7857
3,11905001,2018,0.0,0,0.0,0.0,0.0,42,59.5238,28.5714,2.381,66.6667,0.0
4,14803004,2018,0.0,0,0.0,0.0,0.0,72,12.5,69.4444,5.5556,15.2778,5.5556
5,14803101,2018,0.0,0,0.0,0.0,0.0,52,36.5385,59.6154,5.7692,26.9231,3.8462
6,14804006,2018,0.0,0,0.0,0.0,0.0,339,3.8348,66.3717,2.9499,21.5339,3.2448
7,14905001,2018,0.0,0,0.0,0.0,0.0,222,39.6396,69.8198,2.7027,27.4775,0.0
8,14906004,2018,0.0,0,0.0,0.0,0.0,395,85.0633,12.1519,58.481,23.038,1.0127
9,14909005,2018,0.0,0,0.0,0.0,0.0,75,80.0,12.0,50.6667,37.3333,0.0
10,14910001,2018,0.0,0,0.0,0.0,0.0,450,43.7778,68.2222,1.1111,28.4444,0.6667
11,15802001,2018,0.0,0,0.0,0.0,0.0,177,100.0,9.6045,45.1977,40.113,0.0
12,15802004,2018,0.0,0,0.0,0.0,0.0,88,100.0,2.2727,53.4091,40.9091,0.0
13,15805001,2018,0.0,0,0.0,0.0,0.0,228,76.3158,3.0702,0.4386,95.614,0.0
14,15815041,2018,0.0,0,0.0,0.0,0.0,140,61.4286,2.1429,0.0,96.4286,0.0
15,15828007,2018,0.0,0,0.0,0.0,0.0,244,82.7869,14.7541,0.4098,83.6066,1.2295
16,15830001,2018,0.0,0,0.0,0.0,0.0,573,73.6475,8.377,3.3159,86.911,0.6981
17,15830101,2018,0.0,0,0.0,0.0,0.0,138,57.2464,12.3188,4.3478,80.4348,0.0
18,15831002,2018,0.0,0,0.0,0.0,0.0,118,62.7119,17.7966,5.0847,72.0339,2.5424
19,15834001,2018,0.0,0,0.0,0.0,0.0,313,2.2364,31.6294,1.278,36.7412,23.9617
20,15835002,2018,0.0,0,0.0,0.0,0.0,178,26.9663,44.382,2.2472,49.4382,3.3708
21,15835003,2018,0.0,0,0.0,0.0,0.0,72,13.8889,52.7778,5.5556,33.3333,5.5556
22,15904115,2018,0.0,0,0.0,0.0,0.0,16,81.25,6.25,0.0,93.75,0.0
23,15906001,2018,0.0,0,0.0,0.0,0.0,490,5.7143,39.5918,21.0204,22.6531,5.7143
24,15907010,2018,0.0,0,0.0,0.0,0.0,368,90.7609,1.9022,8.9674,88.3152,0.0
25,15907022,2018,0.0,0,0.0,0.0,0.0,400,77.0,4.0,1.75,93.75,0.25
26,15907023,2018,0.0,0,0.0,0.0,0.0,210,51.4286,2.8571,2.8571,91.4286,1.4286
27,15907026,2018,0.0,0,0.0,0.0,0.0,64,46.875,10.9375,1.5625,81.25,0.0
28,15907027,2018,0.0,0,0.0,0.0,0.0,157,68.7898,11.465,2.5478,84.7134,0.0
29,15909006,2018,0.0,0,0.0,0.0,0.0,121,65.2893,20.6612,0.0,76.0331,0.0
30,15910009,2018,0.0,0,0.0,0.0,0.0,495,24.0404,34.9495,3.4343,54.5455,3.6364
31,15910012,2018,0.0,0,0.0,0.0,0.0,626,65.3355,18.8498,13.4185,62.6198,1.1182
32,15911003,2018,0.0,0,0.0,0.0,0.0,74,87.8378,21.6216,5.4054,70.2703,0.0
33,15915006,2018,0.0,0,0.0,0.0,0.0,854,24.9415,22.8337,5.2693,50.5855,14.5199
34,15915008,2018,0.0,0,0.0,0.0,0.0,765,70.1961,13.3333,11.8954,71.7647,0.6536
35,15915039,2018,0.0,0,0.0,0.0,0.0,30,36.6667,20.0,6.6667,66.6667,0.0
36,15916005,2018,0.0,0,0.0,0.0,0.0,212,76.4151,11.7925,47.1698,37.2642,0.4717
37,15917002,2018,0.0,0,0.0,0.0,0.0,48,85.4167,4.1667,0.0,95.8333,0.0
38,17901001,2018,0.0,0,0.0,0.0,0.0,88,26.1364,79.5455,1.1364,14.7727,0.0
39,18901001,2018,0.0,0,0.0,0.0,0.0,314,41.0828,60.1911,2.5478,29.9363,1.9108
40,18903001,2018,0.0,0,0.0,0.0,0.0,49,75.5102,38.7755,2.0408,57.1429,0.0
41,18904001,2018,0.0,0,0.0,0.0,0.0,217,50.2304,67.2811,3.2258,28.5714,0.0
42,18905003,2018,0.0,0,0.0,0.0,0.0,56,75.0,46.4286,0.0,53.5714,0.0
43,18906001,2018,0.0,0,0.0,0.0,0.0,41,41.4634,68.2927,2.439,29.2683,0.0
44,18908001,2018,0.0,0,0.0,0.0,0.0,39,74.359,64.1026,2.5641,33.3333,0.0
45,19902002,2018,0.0,0,0.0,0.0,0.0,375,51.7333,68.8,14.6667,9.3333,0.2667
46,19909001,2018,0.0,0,0.0,0.0,0.0,180,53.8889,90.0,0.0,5.5556,1.1111
47,20901005,2018,0.0,0,0.0,0.0,0.0,178,66.8539,53.9326,3.3708,41.0112,0.0
48,20902002,2018,0.0,0,0.0,0.0,0.0,76,72.3684,31.5789,10.5263,56.5789,0.0
49,20902003,2018,0.0,0,0.0,0.0,0.0,13,61.5385,38.4615,0.0,53.8462,0.0
50,22902001,2018,0.0,0,0.0,0.0,0.0,16,81.25,31.25,0.0,68.75,0.0
51,23902001,2018,0.0,0,0.0,0.0,0.0,66,62.1212,45.4545,4.5455,45.4545,0.0
52,25901001,2018,0.0,0,0.0,0.0,0.0,350,48.2857,69.7143,2.5714,24.2857,0.0
53,25904001,2018,0.0,0,0.0,0.0,0.0,57,45.614,66.6667,0.0,31.5789,0.0
