,schoolcode,district,county,year,charter,elapass,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,asian
0,10100010034,1,34,2019,0.0,85,0.0,0.0,0.0,666,64.8649,23.1231,49.0991,15.1652,9.7598
3,10201040001,4,01,2019,0.0,89,0.0,0.0,0.0,76,40.7895,90.7895,2.6316,3.9474,0.0
4,10306060008,6,08,2019,0.0,99,0.0,0.0,0.0,404,11.6337,84.6535,2.9703,4.9505,6.4356
5,10402060001,6,01,2019,0.0,81,0.0,0.0,0.0,137,38.6861,85.4015,5.8394,6.5693,0.7299
6,10500010007,1,07,2019,0.0,89,0.0,0.0,0.0,163,60.7362,76.0736,11.6564,8.589,1.227
7,10601060008,6,08,2019,0.0,91,0.0,0.0,0.0,409,36.6748,65.5257,10.0244,7.5795,10.0244
8,10623060010,6,10,2019,0.0,98,0.0,0.0,0.0,508,24.4094,64.7638,8.8583,6.2992,16.7323
9,10701030001,3,01,2019,0.0,62,0.0,0.0,0.0,21,66.6667,76.1905,19.0476,4.7619,0.0
10,10802060005,6,05,2019,0.0,93,0.0,0.0,0.0,375,18.6667,73.0667,5.0667,4.5333,12.8
11,11003060002,6,02,2019,0.0,93,0.0,0.0,0.0,107,7.4766,92.5234,1.8692,0.0,4.6729
12,11200010010,1,10,2019,0.0,82,0.0,0.0,0.0,116,67.2414,43.1034,24.1379,14.6552,13.7931
13,20101040002,4,02,2019,0.0,96,0.0,0.0,0.0,49,28.5714,91.8367,2.0408,0.0,6.1224
14,20601040001,4,01,2019,0.0,86,0.0,0.0,0.0,21,52.381,100.0,0.0,0.0,0.0
15,20702040001,4,01,2019,0.0,95,0.0,0.0,0.0,40,52.5,90.0,2.5,2.5,0.0
16,20801040001,4,01,2019,0.0,95,0.0,0.0,0.0,19,47.3684,94.7368,0.0,5.2632,0.0
17,21102040001,4,01,2019,0.0,86,0.0,0.0,0.0,14,57.1429,92.8571,0.0,7.1429,0.0
18,21601040004,4,04,2019,0.0,88,0.0,0.0,0.0,26,50.0,88.4615,0.0,3.8462,0.0
19,22001040001,4,01,2019,0.0,96,0.0,0.0,0.0,52,51.9231,100.0,0.0,0.0,0.0
20,22101040001,4,01,2019,0.0,100,0.0,0.0,0.0,14,57.1429,100.0,0.0,0.0,0.0
21,22302040001,4,01,2019,0.0,89,0.0,0.0,0.0,71,47.8873,97.1831,1.4085,0.0,1.4085
22,22401040003,4,03,2019,0.0,100,0.0,0.0,0.0,29,37.931,100.0,0.0,0.0,0.0
23,22601060004,6,04,2019,0.0,97,0.0,0.0,0.0,88,39.7727,92.0455,3.4091,2.2727,1.1364
24,22902040001,4,01,2019,0.0,83,0.0,0.0,0.0,60,51.6667,96.6667,3.3333,0.0,0.0
25,30101060003,6,03,2019,0.0,96,0.0,0.0,0.0,109,33.945,93.578,0.0,1.8349,0.0
26,30200010021,1,21,2019,0.0,75,0.0,0.0,0.0,377,61.8037,42.9708,30.504,12.9973,5.5703
27,30501040003,4,03,2019,0.0,72,0.0,0.0,0.0,71,67.6056,98.5915,1.4085,0.0,0.0
28,30601060006,6,06,2019,0.0,93,0.0,0.0,0.0,113,39.823,90.2655,5.3097,0.0,2.6549
29,30701060001,6,01,2019,0.0,91,0.0,0.0,0.0,116,33.6207,94.8276,0.8621,0.8621,0.8621
30,31101060006,6,06,2019,0.0,89,0.0,0.0,0.0,173,32.948,88.4393,1.1561,2.8902,4.0462
31,31301040003,4,03,2019,0.0,93,0.0,0.0,0.0,40,62.5,97.5,0.0,2.5,0.0
32,31401060004,6,04,2019,0.0,80,0.0,0.0,0.0,90,62.2222,95.5556,1.1111,1.1111,0.0
33,31501060012,6,12,2019,0.0,88,0.0,0.0,0.0,336,49.4048,69.6429,10.119,8.9286,3.2738
34,31502060006,6,06,2019,0.0,85,0.0,0.0,0.0,186,65.0538,57.5269,15.5914,5.914,12.9032
35,31601060051,6,51,2019,0.0,96,0.0,0.0,0.0,253,23.3202,79.8419,3.9526,3.1621,9.8814
36,31701060007,6,07,2019,0.0,94,0.0,0.0,0.0,106,41.5094,90.566,2.8302,4.717,0.9434
37,40204040001,4,01,2019,0.0,100,0.0,0.0,0.0,11,45.4545,100.0,0.0,0.0,0.0
38,40302060001,6,01,2019,0.0,91,0.0,0.0,0.0,118,29.661,92.3729,1.6949,2.5424,1.6949
39,40901040002,4,02,2019,0.0,93,0.0,0.0,0.0,43,41.8605,90.6977,2.3256,0.0,2.3256
40,41101040002,4,02,2019,0.0,89,0.0,0.0,0.0,63,58.7302,87.3016,1.5873,6.3492,3.1746
41,41401040001,4,01,2019,0.0,97,0.0,0.0,0.0,29,58.6207,86.2069,0.0,3.4483,3.4483
42,42302040003,4,03,2019,0.0,90,0.0,0.0,0.0,71,57.7465,94.3662,0.0,0.0,1.4085
43,42400010013,1,13,2019,0.0,80,0.0,0.0,0.0,152,44.0789,82.2368,2.6316,5.9211,3.9474
44,42801060006,6,06,2019,0.0,83,0.0,0.0,0.0,113,61.9469,59.292,0.0,2.6549,0.0
45,42901040002,4,02,2019,0.0,92,0.0,0.0,0.0,83,38.5542,92.7711,1.2048,3.6145,1.2048
46,43011020001,2,01,2019,0.0,0,0.0,0.0,0.0,2,50.0,100.0,0.0,0.0,0.0
47,43001040002,4,02,2019,0.0,96,0.0,0.0,0.0,73,50.6849,86.3014,0.0,1.3699,4.1096
48,43200050002,5,02,2019,0.0,74,0.0,0.0,0.0,90,54.4444,45.5556,1.1111,2.2222,0.0
49,43501060006,6,06,2019,0.0,87,0.0,0.0,0.0,205,53.6585,97.0732,1.9512,0.4878,0.4878
50,50100010013,1,13,2019,0.0,80,0.0,0.0,0.0,315,43.1746,79.6825,9.8413,3.1746,0.3175
51,50301040002,4,02,2019,0.0,92,0.0,0.0,0.0,60,23.3333,93.3333,0.0,1.6667,1.6667
52,50401040003,4,03,2019,0.0,93,0.0,0.0,0.0,90,41.1111,93.3333,1.1111,1.1111,0.0
53,50701040005,4,05,2019,0.0,92,0.0,0.0,0.0,53,39.6226,92.4528,0.0,5.6604,0.0
54,51101040004,4,04,2019,0.0,82,0.0,0.0,0.0,78,38.4615,96.1538,0.0,2.5641,0.0
55,51301040003,4,03,2019,0.0,85,0.0,0.0,0.0,73,43.8356,95.8904,1.3699,0.0,0.0
56,51901040005,4,05,2019,0.0,94,0.0,0.0,0.0,82,35.3659,89.0244,4.878,2.439,1.2195
57,60201060003,6,03,2019,0.0,93,0.0,0.0,0.0,104,36.5385,89.4231,1.9231,0.9615,2.8846
58,60301040004,4,04,2019,0.0,94,0.0,0.0,0.0,67,41.791,91.0448,0.0,4.4776,0.0
59,60401040006,4,06,2019,0.0,96,0.0,0.0,0.0,70,42.8571,94.2857,0.0,2.8571,0.0
60,60503040001,4,01,2019,0.0,93,0.0,0.0,0.0,67,40.2985,97.0149,0.0,1.4925,0.0
61,60601040003,4,03,2019,0.0,81,0.0,0.0,0.0,37,62.1622,94.5946,0.0,0.0,0.0
62,60701040003,4,03,2019,0.0,90,0.0,0.0,0.0,30,50.0,83.3333,0.0,3.3333,6.6667
63,60800010009,1,09,2019,0.0,72,0.0,0.0,0.0,169,72.1893,40.8284,7.1006,49.1124,0.5917
64,61001040005,4,05,2019,0.0,94,0.0,0.0,0.0,53,24.5283,94.3396,1.8868,1.8868,1.8868
65,61101040007,4,07,2019,0.0,84,0.0,0.0,0.0,97,51.5464,94.8454,1.0309,2.0619,2.0619
66,61501040001,4,01,2019,0.0,89,0.0,0.0,0.0,90,55.5556,80.0,1.1111,6.6667,0.0
67,61503040003,4,03,2019,0.0,91,0.0,0.0,0.0,47,44.6809,87.234,0.0,6.383,0.0
68,61601040001,4,01,2019,0.0,100,0.0,0.0,0.0,37,35.1351,94.5946,0.0,2.7027,0.0
69,61700010013,1,13,2019,0.0,85,0.0,0.0,0.0,335,60.8955,65.6716,6.8657,18.806,0.2985
70,62201060003,6,03,2019,0.0,90,0.0,0.0,0.0,137,34.3066,80.292,2.1898,15.3285,0.0
71,62301040003,4,03,2019,0.0,81,0.0,0.0,0.0,43,51.1628,90.6977,0.0,6.9767,0.0
72,62601040003,4,03,2019,0.0,100,0.0,0.0,0.0,36,63.8889,97.2222,0.0,2.7778,0.0
73,62901040002,4,02,2019,0.0,91,0.0,0.0,0.0,56,50.0,87.5,0.0,8.9286,1.7857
74,70600010020,1,20,2019,0.0,84,0.0,0.0,0.0,407,47.9115,78.6241,15.7248,1.7199,0.2457
75,70901060007,6,07,2019,0.0,91,0.0,0.0,0.0,331,29.9094,89.7281,2.4169,2.1148,3.3233
76,70902060002,6,02,2019,0.0,86,0.0,0.0,0.0,93,48.3871,92.4731,0.0,1.0753,3.2258
77,80101040003,4,03,2019,0.0,89,0.0,0.0,0.0,36,36.1111,91.6667,0.0,2.7778,2.7778
78,80201040001,4,01,2019,0.0,98,0.0,0.0,0.0,48,54.1667,97.9167,0.0,0.0,2.0833
79,80601040003,4,03,2019,0.0,94,0.0,0.0,0.0,72,40.2778,94.4444,0.0,2.7778,1.3889
80,81003040003,4,03,2019,0.0,91,0.0,0.0,0.0,68,63.2353,94.1176,2.9412,0.0,0.0
81,81200050004,5,04,2019,0.0,73,0.0,0.0,0.0,162,55.5556,89.5062,3.7037,4.321,1.8519
82,81401040001,4,01,2019,0.0,94,0.0,0.0,0.0,32,43.75,96.875,0.0,3.125,0.0
83,81501040002,4,02,2019,0.0,83,0.0,0.0,0.0,66,57.5758,92.4242,1.5152,4.5455,0.0
84,82001040004,4,04,2019,0.0,89,0.0,0.0,0.0,95,54.7368,95.7895,0.0,1.0526,2.1053
85,90201040002,4,02,2019,0.0,88,0.0,0.0,0.0,81,59.2593,92.5926,3.7037,2.4691,0.0
86,90301060006,6,06,2019,0.0,85,0.0,0.0,0.0,163,42.9448,96.9325,0.6135,1.227,0.6135
87,90501040002,4,02,2019,0.0,94,0.0,0.0,0.0,104,33.6538,96.1538,1.9231,0.0,1.9231
88,90601020002,2,02,2019,0.0,97,0.0,0.0,0.0,36,22.2222,100.0,0.0,0.0,0.0
89,90901040002,4,02,2019,0.0,100,0.0,0.0,0.0,64,45.3125,100.0,0.0,0.0,0.0
90,91101060005,6,05,2019,0.0,88,0.0,0.0,0.0,161,41.6149,93.1677,2.4845,0.0,3.1056
91,91200010006,1,06,2019,0.0,88,0.0,0.0,0.0,143,44.7552,86.014,9.0909,1.3986,3.4965
92,91402060005,6,05,2019,0.0,93,0.0,0.0,0.0,103,36.8932,95.1456,1.9417,0.9709,0.9709
93,100501040003,4,03,2019,0.0,83,0.0,0.0,0.0,95,54.7368,85.2632,1.0526,11.5789,0.0
94,100902040004,4,04,2019,0.0,86,0.0,0.0,0.0,43,48.8372,81.3953,0.0,6.9767,2.3256
95,101001040002,4,02,2019,0.0,93,0.0,0.0,0.0,70,28.5714,85.7143,1.4286,7.1429,1.4286
96,101300010001,1,01,2019,0.0,85,0.0,0.0,0.0,128,71.0938,35.1562,28.9062,11.7188,23.4375
97,101401040005,4,05,2019,0.0,94,0.0,0.0,0.0,137,22.6277,88.3212,4.3796,5.8394,1.4599
98,101601040003,4,03,2019,0.0,86,0.0,0.0,0.0,42,42.8571,95.2381,0.0,0.0,0.0
