,schoolcode,year,charter,mathpass,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,asian
0,10100010034,2019,0.0,56,0.0,0.0,0.0,732,72.541,16.5301,55.3279,16.5301,8.0601
2,10100860960,2019,0.0,41,0.0,0.0,0.0,155,86.4516,9.0323,64.5161,15.4839,5.1613
3,10201040001,2019,0.0,83,0.0,0.0,0.0,52,40.3846,94.2308,0.0,0.0,0.0
4,10306060008,2019,0.0,92,0.0,0.0,0.0,257,17.1206,83.6576,2.7237,6.2257,4.6693
5,10402060001,2019,0.0,64,0.0,0.0,0.0,180,57.2222,76.6667,8.3333,10.0,0.5556
6,10500010007,2019,0.0,49,0.0,0.0,0.0,129,79.0698,71.3178,16.2791,6.9767,2.3256
7,10601060008,2019,0.0,83,0.0,0.0,0.0,369,46.0705,60.9756,10.8401,11.3821,7.5881
8,10623060010,2019,0.0,93,0.0,0.0,0.0,386,33.9378,66.0622,12.9534,7.772,10.1036
9,10701030001,2019,0.0,61,0.0,0.0,0.0,56,66.0714,85.7143,8.9286,3.5714,0.0
10,10802060005,2019,0.0,82,0.0,0.0,0.0,306,28.7582,75.4902,5.5556,4.5752,8.1699
11,11003060002,2019,0.0,96,0.0,0.0,0.0,55,14.5455,90.9091,0.0,3.6364,3.6364
12,11200010010,2019,0.0,60,0.0,0.0,0.0,140,67.8571,46.4286,27.1429,13.5714,7.1429
13,20101040002,2019,0.0,98,0.0,0.0,0.0,58,32.7586,94.8276,0.0,1.7241,3.4483
14,20601040001,2019,0.0,62,0.0,0.0,0.0,29,65.5172,96.5517,0.0,3.4483,0.0
15,20702040001,2019,0.0,69,0.0,0.0,0.0,51,54.902,90.1961,1.9608,1.9608,1.9608
16,20801040001,2019,0.0,75,0.0,0.0,0.0,28,60.7143,100.0,0.0,0.0,0.0
17,21102040001,2019,0.0,100,0.0,0.0,0.0,21,42.8571,100.0,0.0,0.0,0.0
18,21601040004,2019,0.0,74,0.0,0.0,0.0,19,57.8947,94.7368,5.2632,0.0,0.0
19,22001040001,2019,0.0,93,0.0,0.0,0.0,44,52.2727,95.4545,0.0,4.5455,0.0
20,22101040001,2019,0.0,64,0.0,0.0,0.0,25,60.0,100.0,0.0,0.0,0.0
21,22302040001,2019,0.0,92,0.0,0.0,0.0,59,55.9322,98.3051,1.6949,0.0,0.0
22,22401040003,2019,0.0,93,0.0,0.0,0.0,29,62.069,89.6552,3.4483,3.4483,0.0
23,22601060004,2019,0.0,81,0.0,0.0,0.0,108,47.2222,90.7407,3.7037,2.7778,0.9259
24,22902040001,2019,0.0,85,0.0,0.0,0.0,79,40.5063,96.2025,1.2658,0.0,0.0
25,30101060003,2019,0.0,88,0.0,0.0,0.0,121,42.1488,88.4298,3.3058,1.6529,0.0
26,30200010021,2019,0.0,45,0.0,0.0,0.0,531,79.8493,35.0282,33.8983,18.4557,3.5782
27,30501040003,2019,0.0,81,0.0,0.0,0.0,79,74.6835,97.4684,2.5316,0.0,0.0
28,30601060006,2019,0.0,84,0.0,0.0,0.0,103,50.4854,86.4078,2.9126,4.8544,1.9417
29,30701060001,2019,0.0,89,0.0,0.0,0.0,128,39.8438,89.8438,2.3438,1.5625,3.125
30,31101060006,2019,0.0,91,0.0,0.0,0.0,163,45.3988,90.7975,3.681,1.8405,2.454
31,31301040003,2019,0.0,35,0.0,0.0,0.0,20,65.0,95.0,5.0,0.0,0.0
32,31401060004,2019,0.0,78,0.0,0.0,0.0,97,61.8557,95.8763,1.0309,2.0619,0.0
