,schoolcode,schoolname,districtname,mathpass,totaltested,percenttotaltested,male,female,white,black,hispanic,asian,disability,lowincome,year,schoolmode,SchoolType,EnrollmentTotal
0,11012002C260001,Marshall High School,Marshall CUSD 2C,0.28600000000000003,70.0,0.909,0.4285714285714285,0.5714285714285714,0.9142857142857144,0.0,0.0,0.0,0.1428571428571428,0.1857142857142857,2021,0.0,Regular school,359
1,11012002C260001,Marshall High School,Marshall CUSD 2C,0.302,96.0,1.0,0.5208333333333334,0.4791666666666667,0.96875,0.0,0.0,0.0,0.1666666666666666,0.25,2019,0.0,Regular school,359
2,11012002C260001,Marshall High School,Marshall CUSD 2C,0.299,97.0,0.99,0.6391752577319587,0.3608247422680412,0.9587628865979382,0.0,0.0,0.0,0.1958762886597938,0.2989690721649484,2018,0.0,Regular school,359
3,110150010260001,Charleston High School,Charleston CUSD 1,0.196,209.0,0.9329999999999999,0.5215311004784688,0.4784688995215311,0.8947368421052632,0.0,0.0,0.0,0.2248803827751196,0.3684210526315789,2021,0.2272727272727272,Regular school,756
4,110150010260001,Charleston High School,Charleston CUSD 1,0.32,194.0,0.99,0.520618556701031,0.4793814432989691,0.8917525773195877,0.0,0.0,0.0,0.2061855670103092,0.3969072164948453,2019,0.2272727272727272,Regular school,756
5,110150010260001,Charleston High School,Charleston CUSD 1,0.311,180.0,0.968,0.5111111111111111,0.4888888888888889,0.8666666666666667,0.0,0.0,0.0,0.1611111111111111,0.3611111111111111,2018,0.2272727272727272,Regular school,756
6,110150020260001,Mattoon High School,Mattoon CUSD 2,0.146,185.0,0.826,0.4972972972972973,0.5027027027027027,0.8378378378378378,0.0,0.0,0.0,0.1189189189189189,0.4972972972972973,2021,0.3636363636363636,Regular school,915
7,110150020260001,Mattoon High School,Mattoon CUSD 2,0.34600000000000003,240.0,0.996,0.5416666666666666,0.4583333333333333,0.8791666666666667,0.0,0.05,0.0,0.1208333333333333,0.4833333333333333,2019,0.3636363636363636,Regular school,915
8,110150020260001,Mattoon High School,Mattoon CUSD 2,0.262,252.0,0.981,0.5,0.5,0.9047619047619048,0.0,0.0396825396825396,0.0,0.1388888888888889,0.4087301587301587,2018,0.3636363636363636,Regular school,915
9,110150050260002,Oakland High School,Oakland CUSD 5,0.16699999999999998,18.0,1.0,0.7222222222222222,0.0,0.9444444444444444,0.0,0.0,0.0,0.0,0.0,2021,0.0,Regular school,72
10,110150050260002,Oakland High School,Oakland CUSD 5,0.0,16.0,1.0,0.8125,0.0,0.9375,0.0,0.0,0.0,0.0,0.0,2019,0.0,Regular school,72
11,110150050260002,Oakland High School,Oakland CUSD 5,0.222,18.0,1.0,0.5555555555555556,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2018,0.0,Regular school,72
12,110180770260001,Cumberland High School,Cumberland CUSD 77,0.188,64.0,0.985,0.46875,0.53125,0.96875,0.0,0.0,0.0,0.0,0.375,2021,0.3636363636363636,Regular school,290
13,110180770260001,Cumberland High School,Cumberland CUSD 77,0.257,70.0,1.0,0.5142857142857142,0.4857142857142857,0.9714285714285714,0.0,0.0,0.0,0.0,0.3142857142857143,2019,0.3636363636363636,Regular school,290
14,110180770260001,Cumberland High School,Cumberland CUSD 77,0.129,62.0,1.0,0.5806451612903226,0.4193548387096774,0.9838709677419356,0.0,0.0,0.0,0.0,0.4032258064516129,2018,0.3636363636363636,Regular school,290
15,110213010260001,Tuscola High School,Tuscola CUSD 301,0.231,65.0,0.929,0.5538461538461539,0.4461538461538462,0.8769230769230769,0.0,0.0,0.0,0.0,0.3692307692307692,2021,0.0,Regular school,283
16,110213010260001,Tuscola High School,Tuscola CUSD 301,0.282,71.0,0.986,0.4929577464788732,0.5070422535211268,0.9577464788732394,0.0,0.0,0.0,0.0,0.2816901408450704,2019,0.0,Regular school,283
17,110213010260001,Tuscola High School,Tuscola CUSD 301,0.397,68.0,1.0,0.4705882352941176,0.5294117647058824,0.9705882352941176,0.0,0.0,0.0,0.0,0.1911764705882352,2018,0.0,Regular school,283
18,110213020260001,Villa Grove High School,Villa Grove CUSD 302,0.156,45.0,0.9570000000000001,0.4666666666666667,0.5333333333333333,0.9333333333333332,0.0,0.0,0.0,0.2444444444444444,0.3555555555555555,2021,0.2272727272727272,Regular school,190
19,110213020260001,Villa Grove High School,Villa Grove CUSD 302,0.138,58.0,0.983,0.5344827586206896,0.4655172413793103,1.0,0.0,0.0,0.0,0.2241379310344827,0.3275862068965517,2019,0.2272727272727272,Regular school,190
20,110213020260001,Villa Grove High School,Villa Grove CUSD 302,0.077,39.0,1.0,0.5384615384615384,0.4615384615384615,0.9743589743589745,0.0,0.0,0.0,0.282051282051282,0.3846153846153846,2018,0.2272727272727272,Regular school,190
21,110213050260001,Arthur-Lovington-Atwood-Hammon,Arthur CUSD 305,0.235,68.0,1.0,0.4411764705882353,0.5588235294117647,0.9411764705882352,0.0,0.0,0.0,0.0,0.3970588235294117,2021,0.0,Regular school,309
22,110213050260001,Arthur-Lovington-Atwood-Hammond High School,Arthur CUSD 305,0.25,80.0,1.0,0.575,0.425,0.95,0.0,0.0,0.0,0.225,0.4,2019,0.0,Regular school,309
23,110213050260001,Arthur-Lovington-Atwood-Hammond High School,Arthur CUSD 305,0.273,77.0,1.0,0.3896103896103896,0.6103896103896104,0.948051948051948,0.0,0.0,0.0,0.0,0.3376623376623376,2018,0.0,Regular school,309
24,110230060260001,Chrisman High School,Edgar County CUD 6,0.083,24.0,0.96,0.5,0.5,0.9166666666666666,0.0,0.0,0.0,0.0,0.4583333333333333,2021,0.0454545454545454,Regular school,97
25,110230060260001,Chrisman High School,Edgar County CUD 6,0.077,26.0,1.0,0.4230769230769231,0.5769230769230769,1.0,0.0,0.0,0.0,0.0,0.0,2019,0.0454545454545454,Regular school,97
