,schoolcode,year,charter,elapass,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,asian
0,10100010034,2019,0.0,85,0.0,0.0,0.0,666,64.86486486486487,23.123123123123122,49.0990990990991,15.165165165165165,9.75975975975976
3,10201040001,2019,0.0,89,0.0,0.0,0.0,76,40.78947368421053,90.78947368421053,2.631578947368421,3.9473684210526314,0.0
4,10306060008,2019,0.0,99,0.0,0.0,0.0,404,11.633663366336634,84.65346534653465,2.9702970297029703,4.9504950495049505,6.435643564356436
5,10402060001,2019,0.0,81,0.0,0.0,0.0,137,38.68613138686132,85.40145985401459,5.839416058394161,6.569343065693431,0.7299270072992701
6,10500010007,2019,0.0,89,0.0,0.0,0.0,163,60.73619631901841,76.07361963190185,11.65644171779141,8.588957055214724,1.2269938650306749
7,10601060008,2019,0.0,91,0.0,0.0,0.0,409,36.674816625916876,65.52567237163814,10.024449877750612,7.579462102689487,10.024449877750612
8,10623060010,2019,0.0,98,0.0,0.0,0.0,508,24.409448818897637,64.76377952755905,8.858267716535433,6.299212598425196,16.73228346456693
9,10701030001,2019,0.0,62,0.0,0.0,0.0,21,66.66666666666666,76.19047619047619,19.047619047619047,4.761904761904762,0.0
10,10802060005,2019,0.0,93,0.0,0.0,0.0,375,18.666666666666668,73.06666666666666,5.066666666666666,4.533333333333333,12.8
11,11003060002,2019,0.0,93,0.0,0.0,0.0,107,7.476635514018691,92.5233644859813,1.8691588785046727,0.0,4.672897196261682
12,11200010010,2019,0.0,82,0.0,0.0,0.0,116,67.24137931034483,43.103448275862064,24.137931034482758,14.655172413793101,13.793103448275861
13,20101040002,2019,0.0,96,0.0,0.0,0.0,49,28.57142857142857,91.83673469387756,2.0408163265306123,0.0,6.122448979591836
14,20601040001,2019,0.0,86,0.0,0.0,0.0,21,52.38095238095239,100.0,0.0,0.0,0.0
15,20702040001,2019,0.0,95,0.0,0.0,0.0,40,52.5,90.0,2.5,2.5,0.0
16,20801040001,2019,0.0,95,0.0,0.0,0.0,19,47.368421052631575,94.73684210526315,0.0,5.263157894736842,0.0
17,21102040001,2019,0.0,86,0.0,0.0,0.0,14,57.14285714285714,92.85714285714286,0.0,7.142857142857142,0.0
18,21601040004,2019,0.0,88,0.0,0.0,0.0,26,50.0,88.46153846153845,0.0,3.8461538461538463,0.0
19,22001040001,2019,0.0,96,0.0,0.0,0.0,52,51.92307692307693,100.0,0.0,0.0,0.0
20,22101040001,2019,0.0,100,0.0,0.0,0.0,14,57.14285714285714,100.0,0.0,0.0,0.0
21,22302040001,2019,0.0,89,0.0,0.0,0.0,71,47.88732394366197,97.1830985915493,1.4084507042253522,0.0,1.4084507042253522
22,22401040003,2019,0.0,100,0.0,0.0,0.0,29,37.93103448275862,100.0,0.0,0.0,0.0
23,22601060004,2019,0.0,97,0.0,0.0,0.0,88,39.77272727272727,92.04545454545455,3.4090909090909087,2.272727272727273,1.1363636363636365
