,schoolcode,year,subject,totalenroll,pass,maleenroll,femaleenroll,whiteenroll,hispanicenroll,blackenroll,asianenroll,lowincomeenroll,dropout,virtual_per,hybrid_per,schoolmode
0,10100010034,2019,Regents Common Core English Language Art,666.0,85,49.3993993993994,50.6006006006006,23.123123123123122,15.165165165165165,49.0990990990991,9.75975975975976,64.86486486486487,17.0,0.0,0.0,0.0
3,10201040001,2019,Regents Common Core English Language Art,76.0,89,46.05263157894737,53.94736842105263,90.78947368421053,3.9473684210526314,2.631578947368421,0.0,40.78947368421053,5.0,0.0,0.0,0.0
4,10306060008,2019,Regents Common Core English Language Art,404.0,99,48.76237623762376,51.23762376237624,84.65346534653465,4.9504950495049505,2.9702970297029703,6.435643564356436,11.633663366336634,2.0,0.0,0.0,0.0
5,10402060001,2019,Regents Common Core English Language Art,137.0,81,48.175182481751825,51.82481751824818,85.40145985401459,6.569343065693431,5.839416058394161,0.7299270072992701,38.68613138686132,6.0,0.0,0.0,0.0
6,10500010007,2019,Regents Common Core English Language Art,163.0,89,45.39877300613497,54.601226993865026,76.07361963190185,8.588957055214724,11.65644171779141,1.2269938650306749,60.73619631901841,10.0,0.0,0.0,0.0
7,10601060008,2019,Regents Common Core English Language Art,409.0,91,48.16625916870416,51.83374083129584,65.52567237163814,7.579462102689487,10.024449877750612,10.024449877750612,36.674816625916876,1.0,0.0,0.0,0.0
8,10623060010,2019,Regents Common Core English Language Art,508.0,98,43.7007874015748,56.2992125984252,64.76377952755905,6.299212598425196,8.858267716535433,16.73228346456693,24.409448818897637,2.0,0.0,0.0,0.0
9,10701030001,2019,Regents Common Core English Language Art,21.0,62,42.857142857142854,57.14285714285714,76.19047619047619,4.761904761904762,19.047619047619047,0.0,66.66666666666666,11.0,0.0,0.0,0.0
10,10802060005,2019,Regents Common Core English Language Art,375.0,93,55.46666666666666,44.53333333333334,73.06666666666666,4.533333333333333,5.066666666666666,12.8,18.666666666666668,1.0,0.0,0.0,0.0
11,11003060002,2019,Regents Common Core English Language Art,107.0,93,48.598130841121495,51.4018691588785,92.5233644859813,0.0,1.8691588785046727,4.672897196261682,7.476635514018691,1.0,0.0,0.0,0.0
12,11200010010,2019,Regents Common Core English Language Art,116.0,82,43.103448275862064,56.896551724137936,43.103448275862064,14.655172413793101,24.137931034482758,13.793103448275861,67.24137931034483,18.0,0.0,0.0,0.0
13,20101040002,2019,Regents Common Core English Language Art,49.0,96,53.06122448979592,46.93877551020408,91.83673469387756,0.0,2.0408163265306123,6.122448979591836,28.57142857142857,2.0,0.0,0.0,0.0
14,20601040001,2019,Regents Common Core English Language Art,21.0,86,38.095238095238095,61.904761904761905,100.0,0.0,0.0,0.0,52.38095238095239,5.0,0.0,0.0,0.0
15,20702040001,2019,Regents Common Core English Language Art,40.0,95,60.0,40.0,90.0,2.5,2.5,0.0,52.5,11.0,0.0,0.0,0.0
16,20801040001,2019,Regents Common Core English Language Art,19.0,95,57.89473684210527,42.10526315789473,94.73684210526315,5.263157894736842,0.0,0.0,47.368421052631575,6.0,0.0,0.0,0.0
17,21102040001,2019,Regents Common Core English Language Art,14.0,86,35.714285714285715,64.28571428571429,92.85714285714286,7.142857142857142,0.0,0.0,57.14285714285714,24.0,0.0,0.0,0.0
18,21601040004,2019,Regents Common Core English Language Art,26.0,88,50.0,50.0,88.46153846153845,3.8461538461538463,0.0,0.0,50.0,0.0,0.0,0.0,0.0
19,22001040001,2019,Regents Common Core English Language Art,52.0,96,50.0,50.0,100.0,0.0,0.0,0.0,51.92307692307693,0.0,0.0,0.0,0.0
20,22101040001,2019,Regents Common Core English Language Art,14.0,100,28.57142857142857,71.42857142857143,100.0,0.0,0.0,0.0,57.14285714285714,6.0,0.0,0.0,0.0
21,22302040001,2019,Regents Common Core English Language Art,71.0,89,56.33802816901409,43.66197183098591,97.1830985915493,0.0,1.4084507042253522,1.4084507042253522,47.88732394366197,3.0,0.0,0.0,0.0
22,22401040003,2019,Regents Common Core English Language Art,29.0,100,55.172413793103445,44.827586206896555,100.0,0.0,0.0,0.0,37.93103448275862,4.0,0.0,0.0,0.0
23,22601060004,2019,Regents Common Core English Language Art,88.0,97,47.72727272727273,52.27272727272727,92.04545454545455,2.272727272727273,3.4090909090909087,1.1363636363636365,39.77272727272727,5.0,0.0,0.0,0.0
24,22902040001,2019,Regents Common Core English Language Art,60.0,83,41.66666666666667,58.333333333333336,96.66666666666667,0.0,3.3333333333333335,0.0,51.66666666666667,2.0,0.0,0.0,0.0
25,30101060003,2019,Regents Common Core English Language Art,109.0,96,53.21100917431193,46.788990825688074,93.57798165137615,1.834862385321101,0.0,0.0,33.94495412844037,2.0,0.0,0.0,0.0
26,30200010021,2019,Regents Common Core English Language Art,377.0,75,52.785145888594165,47.214854111405835,42.97082228116711,12.9973474801061,30.50397877984085,5.570291777188329,61.80371352785146,16.0,0.0,0.0,0.0
27,30501040003,2019,Regents Common Core English Language Art,71.0,72,53.52112676056338,46.478873239436616,98.59154929577466,0.0,1.4084507042253522,0.0,67.6056338028169,7.0,0.0,0.0,0.0
28,30601060006,2019,Regents Common Core English Language Art,113.0,93,57.52212389380531,42.47787610619469,90.2654867256637,0.0,5.3097345132743365,2.6548672566371683,39.823008849557525,4.0,0.0,0.0,0.0
29,30701060001,2019,Regents Common Core English Language Art,116.0,91,44.827586206896555,55.172413793103445,94.82758620689656,0.8620689655172413,0.8620689655172413,0.8620689655172413,33.62068965517241,2.0,0.0,0.0,0.0
30,31101060006,2019,Regents Common Core English Language Art,173.0,89,53.75722543352601,46.24277456647399,88.4393063583815,2.8901734104046244,1.1560693641618496,4.046242774566474,32.947976878612714,2.0,0.0,0.0,0.0
31,31301040003,2019,Regents Common Core English Language Art,40.0,93,60.0,40.0,97.5,2.5,0.0,0.0,62.5,3.0,0.0,0.0,0.0
32,31401060004,2019,Regents Common Core English Language Art,90.0,80,54.44444444444444,45.55555555555556,95.55555555555556,1.1111111111111112,1.1111111111111112,0.0,62.22222222222222,7.0,0.0,0.0,0.0
33,31501060012,2019,Regents Common Core English Language Art,336.0,88,52.976190476190474,47.023809523809526,69.64285714285714,8.928571428571429,10.119047619047619,3.273809523809524,49.404761904761905,5.0,0.0,0.0,0.0
34,31502060006,2019,Regents Common Core English Language Art,186.0,85,59.13978494623656,40.86021505376344,57.52688172043011,5.913978494623656,15.591397849462366,12.903225806451612,65.05376344086021,5.0,0.0,0.0,0.0
35,31601060051,2019,Regents Common Core English Language Art,253.0,96,49.01185770750988,50.988142292490124,79.84189723320159,3.1620553359683794,3.9525691699604746,9.881422924901186,23.3201581027668,1.0,0.0,0.0,0.0
36,31701060007,2019,Regents Common Core English Language Art,106.0,94,53.77358490566038,46.22641509433962,90.56603773584906,4.716981132075472,2.8301886792452833,0.9433962264150944,41.509433962264154,2.0,0.0,0.0,0.0
37,40204040001,2019,Regents Common Core English Language Art,11.0,100,54.54545454545454,45.45454545454545,100.0,0.0,0.0,0.0,45.45454545454545,12.0,0.0,0.0,0.0
38,40302060001,2019,Regents Common Core English Language Art,118.0,91,51.69491525423729,48.30508474576271,92.37288135593221,2.5423728813559325,1.694915254237288,1.694915254237288,29.66101694915254,2.0,0.0,0.0,0.0
39,40901040002,2019,Regents Common Core English Language Art,43.0,93,44.18604651162791,55.81395348837209,90.69767441860465,0.0,2.3255813953488373,2.3255813953488373,41.86046511627907,3.0,0.0,0.0,0.0
40,41101040002,2019,Regents Common Core English Language Art,63.0,89,50.79365079365079,49.2063492063492,87.3015873015873,6.349206349206349,1.5873015873015872,3.1746031746031744,58.730158730158735,2.0,0.0,0.0,0.0
41,41401040001,2019,Regents Common Core English Language Art,29.0,97,51.724137931034484,48.275862068965516,86.20689655172413,3.4482758620689653,0.0,3.4482758620689653,58.620689655172406,0.0,0.0,0.0,0.0
42,42302040003,2019,Regents Common Core English Language Art,71.0,90,52.112676056338024,47.88732394366197,94.36619718309859,0.0,0.0,1.4084507042253522,57.74647887323944,0.0,0.0,0.0,0.0
43,42400010013,2019,Regents Common Core English Language Art,152.0,80,52.63157894736842,47.368421052631575,82.23684210526315,5.921052631578947,2.631578947368421,3.9473684210526314,44.07894736842105,5.0,0.0,0.0,0.0
44,42801060006,2019,Regents Common Core English Language Art,113.0,83,49.557522123893804,50.442477876106196,59.29203539823009,2.6548672566371683,0.0,0.0,61.94690265486725,9.0,0.0,0.0,0.0
45,42901040002,2019,Regents Common Core English Language Art,83.0,92,49.39759036144578,50.602409638554214,92.7710843373494,3.614457831325301,1.2048192771084338,1.2048192771084338,38.55421686746988,5.0,0.0,0.0,0.0
46,43011020001,2019,Regents Common Core English Language Art,2.0,0,0.0,100.0,100.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
47,43001040002,2019,Regents Common Core English Language Art,73.0,96,45.20547945205479,54.794520547945204,86.3013698630137,1.36986301369863,0.0,4.10958904109589,50.68493150684932,6.0,0.0,0.0,0.0
48,43200050002,2019,Regents Common Core English Language Art,90.0,74,57.77777777777777,42.22222222222222,45.55555555555556,2.2222222222222223,1.1111111111111112,0.0,54.44444444444444,6.0,0.0,0.0,0.0
49,43501060006,2019,Regents Common Core English Language Art,205.0,87,46.82926829268293,53.170731707317074,97.07317073170731,0.4878048780487805,1.951219512195122,0.4878048780487805,53.65853658536586,4.0,0.0,0.0,0.0
50,50100010013,2019,Regents Common Core English Language Art,315.0,80,52.6984126984127,47.3015873015873,79.68253968253968,3.1746031746031744,9.841269841269842,0.31746031746031744,43.17460317460318,17.0,0.0,0.0,0.0
51,50301040002,2019,Regents Common Core English Language Art,60.0,92,55.00000000000001,45.0,93.33333333333333,1.6666666666666667,0.0,1.6666666666666667,23.333333333333332,3.0,0.0,0.0,0.0
52,50401040003,2019,Regents Common Core English Language Art,90.0,93,52.22222222222223,47.77777777777778,93.33333333333333,1.1111111111111112,1.1111111111111112,0.0,41.11111111111111,2.0,0.0,0.0,0.0
53,50701040005,2019,Regents Common Core English Language Art,53.0,92,47.16981132075472,52.83018867924528,92.45283018867924,5.660377358490567,0.0,0.0,39.62264150943396,3.0,0.0,0.0,0.0
54,51101040004,2019,Regents Common Core English Language Art,78.0,82,48.717948717948715,51.28205128205128,96.15384615384616,2.564102564102564,0.0,0.0,38.46153846153847,6.0,0.0,0.0,0.0
55,51301040003,2019,Regents Common Core English Language Art,73.0,85,56.16438356164384,43.83561643835616,95.8904109589041,0.0,1.36986301369863,0.0,43.83561643835616,3.0,0.0,0.0,0.0
56,51901040005,2019,Regents Common Core English Language Art,82.0,94,52.4390243902439,47.5609756097561,89.02439024390245,2.4390243902439024,4.878048780487805,1.2195121951219512,35.36585365853659,7.0,0.0,0.0,0.0
57,60201060003,2019,Regents Common Core English Language Art,104.0,93,50.96153846153846,49.03846153846153,89.42307692307693,0.9615384615384616,1.9230769230769231,2.8846153846153846,36.53846153846153,1.0,0.0,0.0,0.0
58,60301040004,2019,Regents Common Core English Language Art,67.0,94,56.71641791044776,43.28358208955223,91.04477611940298,4.477611940298507,0.0,0.0,41.7910447761194,3.0,0.0,0.0,0.0
59,60401040006,2019,Regents Common Core English Language Art,70.0,96,50.0,50.0,94.28571428571428,2.857142857142857,0.0,0.0,42.857142857142854,2.0,0.0,0.0,0.0
60,60503040001,2019,Regents Common Core English Language Art,67.0,93,47.76119402985074,52.23880597014925,97.01492537313433,1.4925373134328357,0.0,0.0,40.298507462686565,2.0,0.0,0.0,0.0
61,60601040003,2019,Regents Common Core English Language Art,37.0,81,51.35135135135135,48.64864864864865,94.5945945945946,0.0,0.0,0.0,62.16216216216216,18.0,0.0,0.0,0.0
62,60701040003,2019,Regents Common Core English Language Art,30.0,90,36.666666666666664,63.33333333333333,83.33333333333334,3.3333333333333335,0.0,6.666666666666667,50.0,0.0,0.0,0.0,0.0
63,60800010009,2019,Regents Common Core English Language Art,169.0,72,48.5207100591716,51.4792899408284,40.828402366863905,49.112426035502956,7.100591715976331,0.591715976331361,72.18934911242604,18.0,0.0,0.0,0.0
64,61001040005,2019,Regents Common Core English Language Art,53.0,94,50.943396226415096,49.056603773584904,94.33962264150944,1.8867924528301887,1.8867924528301887,1.8867924528301887,24.528301886792452,0.0,0.0,0.0,0.0
65,61101040007,2019,Regents Common Core English Language Art,97.0,84,50.51546391752577,49.48453608247423,94.84536082474226,2.0618556701030926,1.0309278350515463,2.0618556701030926,51.546391752577314,5.0,0.0,0.0,0.0
66,61501040001,2019,Regents Common Core English Language Art,90.0,89,41.11111111111111,58.88888888888889,80.0,6.666666666666667,1.1111111111111112,0.0,55.55555555555556,3.0,0.0,0.0,0.0
67,61503040003,2019,Regents Common Core English Language Art,47.0,91,55.319148936170215,44.680851063829785,87.2340425531915,6.382978723404255,0.0,0.0,44.680851063829785,7.0,0.0,0.0,0.0
68,61601040001,2019,Regents Common Core English Language Art,37.0,100,45.94594594594595,54.054054054054056,94.5945945945946,2.7027027027027026,0.0,0.0,35.13513513513514,0.0,0.0,0.0,0.0
69,61700010013,2019,Regents Common Core English Language Art,335.0,85,46.56716417910447,53.43283582089552,65.67164179104478,18.80597014925373,6.865671641791045,0.2985074626865672,60.895522388059696,14.0,0.0,0.0,0.0
70,62201060003,2019,Regents Common Core English Language Art,137.0,90,54.01459854014598,45.98540145985402,80.2919708029197,15.328467153284672,2.18978102189781,0.0,34.306569343065696,5.0,0.0,0.0,0.0
71,62301040003,2019,Regents Common Core English Language Art,43.0,81,51.162790697674424,48.837209302325576,90.69767441860465,6.976744186046512,0.0,0.0,51.162790697674424,6.0,0.0,0.0,0.0
72,62601040003,2019,Regents Common Core English Language Art,36.0,100,63.888888888888886,36.11111111111111,97.22222222222221,2.7777777777777777,0.0,0.0,63.888888888888886,2.0,0.0,0.0,0.0
73,62901040002,2019,Regents Common Core English Language Art,56.0,91,53.57142857142857,46.42857142857143,87.5,8.928571428571429,0.0,1.7857142857142856,50.0,0.0,0.0,0.0,0.0
74,70600010020,2019,Regents Common Core English Language Art,407.0,84,55.03685503685504,44.96314496314496,78.62407862407862,1.71990171990172,15.724815724815725,0.2457002457002457,47.91154791154791,19.0,0.0,0.0,0.0
75,70901060007,2019,Regents Common Core English Language Art,331.0,91,47.73413897280967,52.26586102719033,89.72809667673715,2.1148036253776437,2.416918429003021,3.3232628398791544,29.909365558912388,4.0,0.0,0.0,0.0
76,70902060002,2019,Regents Common Core English Language Art,93.0,86,50.53763440860215,49.46236559139785,92.47311827956989,1.0752688172043012,0.0,3.225806451612903,48.38709677419355,13.0,0.0,0.0,0.0
77,80101040003,2019,Regents Common Core English Language Art,36.0,89,52.77777777777778,47.22222222222222,91.66666666666666,2.7777777777777777,0.0,2.7777777777777777,36.11111111111111,16.0,0.0,0.0,0.0
78,80201040001,2019,Regents Common Core English Language Art,48.0,98,37.5,62.5,97.91666666666666,0.0,0.0,2.083333333333333,54.166666666666664,3.0,0.0,0.0,0.0
79,80601040003,2019,Regents Common Core English Language Art,72.0,94,45.83333333333333,54.166666666666664,94.44444444444444,2.7777777777777777,0.0,1.3888888888888888,40.27777777777778,5.0,0.0,0.0,0.0
80,81003040003,2019,Regents Common Core English Language Art,68.0,91,45.588235294117645,54.41176470588235,94.11764705882352,0.0,2.941176470588235,0.0,63.23529411764706,5.0,0.0,0.0,0.0
81,81200050004,2019,Regents Common Core English Language Art,162.0,73,50.617283950617285,49.382716049382715,89.50617283950618,4.320987654320987,3.7037037037037033,1.8518518518518516,55.55555555555556,5.0,0.0,0.0,0.0
82,81401040001,2019,Regents Common Core English Language Art,32.0,94,37.5,62.5,96.875,3.125,0.0,0.0,43.75,4.0,0.0,0.0,0.0
83,81501040002,2019,Regents Common Core English Language Art,66.0,83,53.03030303030303,46.96969696969697,92.42424242424242,4.545454545454546,1.5151515151515151,0.0,57.57575757575758,0.0,0.0,0.0,0.0
84,82001040004,2019,Regents Common Core English Language Art,95.0,89,44.21052631578947,55.78947368421052,95.78947368421052,1.0526315789473684,0.0,2.1052631578947367,54.736842105263165,3.0,0.0,0.0,0.0
85,90201040002,2019,Regents Common Core English Language Art,81.0,88,64.19753086419753,35.80246913580247,92.5925925925926,2.4691358024691357,3.7037037037037033,0.0,59.25925925925925,10.0,0.0,0.0,0.0
86,90301060006,2019,Regents Common Core English Language Art,163.0,85,48.466257668711656,51.533742331288344,96.93251533742331,1.2269938650306749,0.6134969325153374,0.6134969325153374,42.944785276073624,5.0,0.0,0.0,0.0
