,RCDTS,City,County,District Size,Total Number of School Days,Student Mobility Rate,High School Dropout Rate - Total,High School Dropout Rate - Male,High School Dropout Rate - Female,High School Dropout Rate - Low Income,High School 4-Year Graduation Rate - Total,High School 4-Year Graduation Rate - Male,High School 4-Year Graduation Rate - Female,High School 4-Year Graduation Rate - White,High School 4-Year Graduation Rate - Low Income,Avg Class Size - High School,Teacher Retention Rate,Chronic Absenteeism,Chronic Absenteeism - Low Income,Year
0,010010010260001,Payson,Adams,MEDIUM,176.0,7.1,4.6,4.8,4.4,7.0,84.8,81.3,88.2,84.4,78.6,15.0,84.3,27.5,33.7,2021
1,010010020260001,Liberty,Adams,MEDIUM,177.0,5.9,2.2,2.9,1.2,10.3,92.9,87.5,96.2,92.7,,15.8,91.3,11.0,29.6,2021
2,010010030260001,Camp Point,Adams,MEDIUM,176.0,13.1,2.7,2.8,2.6,5.5,88.1,89.2,86.4,91.2,71.4,14.9,83.3,18.8,30.7,2021
3,010010040260001,Mendon,Adams,MEDIUM,176.0,7.9,3.4,2.3,4.5,3.2,92.5,90.0,95.0,94.9,87.5,12.2,85.7,18.6,32.8,2021
4,010011720220003,Quincy,Adams,LARGE,177.0,11.3,5.5,5.4,5.6,8.2,77.9,75.2,80.3,79.6,66.7,18.0,85.5,34.5,51.3,2021
5,010050010260001,Mount Sterling,Brown,MEDIUM,177.0,10.7,5.1,6.8,3.6,8.1,82.5,73.1,90.3,83.3,66.7,14.4,80.4,7.1,14.3,2021
6,010090150260007,Beardstown,Cass,MEDIUM,176.0,10.3,5.7,6.1,5.3,4.9,81.1,79.6,82.5,72.7,80.3,22.1,89.2,25.7,25.3,2021
7,010090640260003,Virginia,Cass,SMALL,176.0,9.8,10.5,10.0,11.1,16.7,80.0,,,76.9,,9.4,85.4,21.7,24.4,2021
8,010092620260002,Ashland,Cass,SMALL,176.0,11.0,2.3,4.5,0.0,3.6,90.0,76.5,100.0,89.7,81.0,,68.2,21.4,31.1,2021
9,010690010260001,Franklin,Morgan,SMALL,176.0,8.0,1.1,0.0,2.3,0.0,84.0,85.7,81.8,87.5,,13.6,75.0,33.9,49.1,2021
10,010690060260001,Waverly,Morgan,SMALL,178.0,13.3,1.9,3.1,0.0,2.2,100.0,100.0,,100.0,,9.7,77.3,27.7,46.5,2021
11,010690110260001,Meredosia,Morgan,SMALL,178.0,20.0,9.6,7.4,12.0,15.2,75.0,70.0,,75.0,72.7,9.3,88.9,25.5,37.5,2021
12,010690270260001,Concord,Morgan,SMALL,176.0,4.9,1.8,1.6,2.0,5.4,90.9,90.5,91.7,89.7,84.6,14.3,88.9,13.0,22.0,2021
13,010691170220014,Jacksonville,Morgan,LARGE,176.0,12.9,8.2,9.3,6.8,9.2,65.7,63.4,67.8,67.8,55.5,14.5,83.8,4.2,5.1,2021
