StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
Texas,TX,School,No,Crosbyton Elementary,Regular school,480000101145,054901101,Crosbyton CISD,Regular local school district,4800001,54901,138,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,125,0,13,,#N/A
Texas,TX,School,No,Crosbyton Elementary,Regular school,480000101145,054901101,Crosbyton CISD,Regular local school district,4800001,54901,143,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,141,0,2,,
Texas,TX,School,No,Crosbyton Secondary,Regular school,480000101146,054901001,Crosbyton CISD,Regular local school district,4800001,54901,171,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,161,0,10,,
Texas,TX,School,No,Crosbyton Secondary,Regular school,480000101146,054901001,Crosbyton CISD,Regular local school district,4800001,54901,169,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,165,0,4,,
Texas,TX,School,No,Sp Ed Co-Op,Other/alternative school,480000103621,054901200,Crosbyton CISD,Regular local school district,4800001,54901,7,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,7,0,0,,
Texas,TX,School,No,Sp Ed Co-Op,Other/alternative school,480000103621,054901200,Crosbyton CISD,Regular local school district,4800001,54901,5,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,5,0,0,,
Texas,TX,School,No,Spur School,Regular school,480000204732,063903001,Spur ISD,Regular local school district,4800002,63903,240,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,218,0,22,,
Texas,TX,School,No,Spur School,Regular school,480000204732,063903001,Spur ISD,Regular local school district,4800002,63903,232,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,219,0,13,,
Texas,TX,School,No,Rocksprings K-12,Regular school,480000304219,069901001,Rocksprings ISD,Regular local school district,4800003,69901,151,Bi-annually,9/1/20,12/31/20,Virtual,,,,,,,,0,0,151,,
Texas,TX,School,No,Rocksprings K-12,Regular school,480000304219,069901001,Rocksprings ISD,Regular local school district,4800003,69901,262,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,255,0,7,,
Texas,TX,School,Yes,Por Vida Academy Charter High School,Other/alternative school,480000407173,015801001,Por Vida Academy,Charter agency,4800004,15801,72,Bi-annually,9/1/20,12/31/20,Virtual,,,,,,,,5,0,67,,
Texas,TX,School,Yes,Por Vida Academy Charter High School,Other/alternative school,480000407173,015801001,Por Vida Academy,Charter agency,4800004,15801,89,Bi-annually,1/1/21,6/1/21,Virtual,,,,,,,,0,0,89,,
Texas,TX,School,Yes,Corpus Christi College Prep High School,Other/alternative school,480000409116,015801002,Por Vida Academy,Charter agency,4800004,15801,48,Bi-annually,9/1/20,12/31/20,Virtual,,,,,,,,0,0,48,,
Texas,TX,School,Yes,Corpus Christi College Prep High School,Other/alternative school,480000409116,015801002,Por Vida Academy,Charter agency,4800004,15801,45,Bi-annually,1/1/21,6/1/21,Virtual,,,,,,,,0,0,45,,
Texas,TX,School,No,Blackwell School,Regular school,480000500513,177903001,Blackwell CISD,Regular local school district,4800005,177903,155,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,152,0,3,,
Texas,TX,School,No,Blackwell School,Regular school,480000500513,177903001,Blackwell CISD,Regular local school district,4800005,177903,166,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,163,0,3,,
Texas,TX,School,No,Aspermont Elementary,Regular school,480000600274,217901101,Aspermont ISD,Regular local school district,4800006,217901,104,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,102,0,2,,
Texas,TX,School,No,Aspermont Elementary,Regular school,480000600274,217901101,Aspermont ISD,Regular local school district,4800006,217901,96,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,95,0,1,,
Texas,TX,School,No,Aspermont High School,Regular school,480000600275,217901001,Aspermont ISD,Regular local school district,4800006,217901,111,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,111,0,0,,
Texas,TX,School,No,Aspermont High School,Regular school,480000600275,217901001,Aspermont ISD,Regular local school district,4800006,217901,111,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,108,0,3,,
Texas,TX,School,No,Panther Creek School,Regular school,480000706343,042905001,Panther Creek CISD,Regular local school district,4800007,42905,156,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,153,0,3,,
Texas,TX,School,No,Panther Creek School,Regular school,480000706343,042905001,Panther Creek CISD,Regular local school district,4800007,42905,148,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,147,0,1,,
Texas,TX,School,No,Dripping Springs Elementary,Regular school,480000801507,105904101,Dripping Springs ISD,Regular local school district,4800008,105904,877,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,675,0,202,,
Texas,TX,School,No,Dripping Springs Elementary,Regular school,480000801507,105904101,Dripping Springs ISD,Regular local school district,4800008,105904,925,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,687,0,238,,
Texas,TX,School,No,Dripping Springs High School,Regular school,480000801508,105904001,Dripping Springs ISD,Regular local school district,4800008,105904,2173,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,1333,0,840,,
Texas,TX,School,No,Dripping Springs High School,Regular school,480000801508,105904001,Dripping Springs ISD,Regular local school district,4800008,105904,2183,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,1090,0,1093,,
Texas,TX,School,No,Dripping Springs Middle,Regular school,480000806094,105904041,Dripping Springs ISD,Regular local school district,4800008,105904,886,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,703,0,183,,
Texas,TX,School,No,Dripping Springs Middle,Regular school,480000806094,105904041,Dripping Springs ISD,Regular local school district,4800008,105904,907,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,687,0,220,,
Texas,TX,School,No,Walnut Springs Elementary,Regular school,480000806989,105904102,Dripping Springs ISD,Regular local school district,4800008,105904,707,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,593,0,114,,
